t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,189.83827,1.8646801653634935,187.5229637705035,192.15357622949648,282.854
2,328.462982,3.5869312513512144,324.00921860116523,332.9167453988348,565.708
3,440.16334399999994,4.5764186439922625,434.48096972904625,445.8457182709536,848.56195
4,541.9181580000001,4.9287863641894525,535.7982614167483,548.0380545832518,1131.416
5,636.213002,5.886443728646326,628.9040167446875,643.5219872553124,1414.27
6,730.036536,5.6317295483430545,723.043820172202,737.0292518277979,1697.1239
7,824.970568,5.284845119501619,818.408566079032,831.532569920968,1979.9781
8,918.646872,5.263680065341163,912.1111499648031,925.182594035197,2262.832
9,1011.330852,4.479673875799448,1005.768602224726,1016.8931017752741,2545.686
10,1102.6799199999998,4.0307250100942875,1097.6751138683062,1107.6847261316934,2828.5398
11,1193.65346,4.123121006349423,1188.5339290861782,1198.7729909138218,3111.3945
12,1286.1735800000001,4.365159876453612,1280.753518135004,1291.5936418649962,3394.2478
13,1379.8759,4.676055894661622,1374.0698097420102,1385.6819902579898,3677.1023
14,1473.4411400000001,5.500326410586876,1466.611582717605,1480.2706972823953,3959.9563
15,1565.1913399999999,4.915416194789565,1559.088044674742,1571.2946353252578,4242.81
16,1659.74208,4.385971295733675,1654.2961773449324,1665.1879826550676,4525.664
17,1754.50242,4.149182384759711,1749.3505296108626,1759.6543103891374,4808.5186
18,1845.85314,4.528642163827884,1840.2300880644273,1851.4761919355726,5091.372
19,1941.54426,4.381410700105675,1936.104020072334,1946.9844999276659,5374.2256
20,2035.0761400000004,5.157852487518422,2028.671820258203,2041.4804597417976,5657.0796
21,2125.86806,6.362920743102226,2117.967450389866,2133.7686696101337,5939.9346
22,2220.8386,7.173184081354631,2211.9319155736935,2229.7452844263066,6222.788
23,2314.00986,7.227149622638234,2305.0361685039384,2322.983551496062,6505.642
24,2408.94074,7.913012745345515,2399.115436956777,2418.766043043223,6788.4956
25,2499.19524,8.619243388372261,2488.4930357929024,2509.8974442070976,7071.3496
26,2593.5027999999998,9.51877518223845,2581.6836795492186,2605.321920450781,7354.2036
27,2685.31398,9.317351071629824,2673.744960615732,2696.882999384268,7637.0586
28,2777.90988,10.300670804952393,2765.119907904142,2790.699852095858,7919.9116
29,2873.8225199999997,10.971577977073265,2860.1995066223826,2887.445533377617,8202.767
30,2964.36618,11.323122473151978,2950.3066664778353,2978.4256935221647,8485.62
31,3056.0126600000003,11.878172350071468,3041.2639610284573,3070.7613589715434,8768.475
32,3148.4539999999997,11.353721528203986,3134.356492732798,3162.5515072672015,9051.329
33,3240.4509399999997,11.757644656052527,3225.8518959269063,3255.049984073093,9334.183
34,3336.5269,11.434247625663863,3322.329406376666,3350.7243936233335,9617.037
35,3432.73964,11.733346400451998,3418.170766196105,3447.3085138038946,9899.889
36,3525.30256,11.827238142229128,3510.6171042006117,3539.9880157993884,10182.744
37,3616.0586000000003,12.431998773326953,3600.622234697447,3631.4949653025537,10465.6
38,3707.53768,12.928632088972067,3691.4846629891013,3723.5906970108986,10748.45
39,3799.9707800000006,13.96916909436622,3782.6257656507055,3817.3157943492956,11031.307
40,3894.7451200000005,15.35589330475446,3875.6782601232285,3913.8119798767725,11314.161
41,3987.25772,15.964623674612596,3967.435021538362,4007.080418461638,11597.014
42,4081.3548600000004,15.714905771050626,4061.842227268922,4100.8674927310785,11879.869
43,4172.38616,16.553488746575244,4151.832288978706,4192.940031021294,12162.723
44,4263.6725,16.961308160044698,4242.612254295233,4284.732745704767,12445.578
45,4355.7977200000005,17.56910758254391,4333.982791634187,4377.612648365814,12728.43
46,4451.07738,17.641628077702965,4429.1724055462155,4472.982354453784,13011.285
47,4543.849179999999,18.092945311971885,4521.383821184654,4566.314538815344,13294.138
48,4636.48202,18.357250559983378,4613.688482873663,4659.275557126338,13576.993
49,4728.2007,18.738637500629387,4704.9336084400775,4751.467791559923,13859.849
50,4819.0694,19.27099405323967,4795.141300474494,4842.997499525507,14142.701
51,4910.52834,19.595036372841854,4886.197888792349,4934.858791207651,14425.555
52,5003.72028,20.281134211305716,4978.5379258070825,5028.902634192917,14708.409
53,5096.2561000000005,20.810150000660755,5070.41688594696,5122.095314053041,14991.264
54,5188.39128,21.99189562979969,5161.084734944223,5215.697825055777,15274.117
55,5279.94474,22.56211871329908,5251.930169470497,5307.9593105295025,15556.97
56,5368.913119999999,22.64061132184816,5340.8010880243355,5397.025151975663,15839.825
57,5459.064840000001,22.729973422399834,5430.841850321279,5487.287829678723,16122.677
58,5553.2287799999995,22.662900318405736,5525.089072579754,5581.3684874202445,16405.535
59,5645.24214,23.53311446001128,5616.021919009396,5674.462360990605,16688.387
60,5737.15946,24.41716141739273,5706.841549729694,5767.477370270306,16971.244
61,5831.175139999999,24.85647382510242,5800.311751329075,5862.038528670923,17254.096
62,5922.0211,25.11269242514614,5890.839573917731,5953.202626082269,17536.951
63,6014.08254,25.516504868574998,5982.3996145447,6045.765465455301,17819.8
64,6106.371459999999,25.396628749462025,6074.837380406046,6137.905539593953,18102.658
65,6199.224380000001,26.093931174163757,6166.824485089434,6231.624274910567,18385.514
66,6294.62978,26.95217562724753,6261.164233850382,6328.095326149619,18668.365
67,6386.8539,27.380638872202983,6352.856346464567,6420.851453535433,18951.22
68,6480.51404,28.133175959585305,6445.582088255851,6515.445991744149,19234.074
69,6570.44652,28.66135785778485,6534.858743808354,6606.034296191647,19516.926
70,6661.839360000001,29.125061884363447,6625.67581921273,6698.002900787272,19799.78
71,6755.7483600000005,29.52270888524621,6719.09107524774,6792.405644752261,20082.633
72,6849.082560000001,30.402606878161105,6811.332737587846,6886.832382412155,20365.488
73,6941.393120000001,30.939690284034853,6902.97642045874,6979.809819541261,20648.342
74,7034.213560000001,31.440137311770755,6995.175473401392,7073.25164659861,20931.195
75,7124.756199999999,31.194155391354887,7086.02354029618,7163.488859703818,21214.049
76,7216.459719999999,31.07432842028939,7177.8758451321655,7255.043594867832,21496.908
77,7308.959140000001,31.863955077610743,7269.3948141397495,7348.523465860252,21779.758
78,7403.220360000001,32.262568104042714,7363.161090695614,7443.279629304388,22062.613
79,7495.12508,32.729499801127524,7454.486038417723,7535.764121582277,22345.467
80,7589.337119999999,33.26631219675536,7548.031537792282,7630.642702207717,22628.322
81,7679.84522,33.47995816898505,7638.274361280203,7721.416078719797,22911.178
82,7769.36866,33.62729700374374,7727.614855953546,7811.122464046454,23194.03
83,7860.352800000001,34.11636552418782,7817.991737179056,7902.713862820945,23476.88
84,7951.80136,34.8813667572386,7908.490422689396,7995.112297310605,23759.738
85,8045.0131599999995,35.87950167091262,8000.462874501735,8089.563445498264,24042.592
86,8139.498999999999,36.18481606972731,8094.569616604594,8184.428383395404,24325.441
87,8234.214199999999,36.81790439718146,8188.4987336207105,8279.929666379287,24608.295
88,8327.0284,37.2547275966423,8280.77054598036,8373.286254019638,24891.154
89,8418.0048,36.87314136604071,8372.22074786511,8463.78885213489,25174.002
90,8509.200399999998,37.71476788076527,8462.37133052184,8556.029469478155,25456.857
91,8599.8598,38.87698333461634,8551.58764943464,8648.131950565361,25739.715
92,8692.0962,38.876350943729484,8643.824834651636,8740.367565348364,26022.57
93,8785.5733,39.811821274591274,8736.140394820417,8835.006205179583,26305.42
94,8879.490000000002,40.20162124218384,8829.573094234158,8929.406905765845,26588.277
95,8971.4883,40.5447442426263,8921.145350757553,9021.831249242448,26871.133
96,9062.3506,41.061393550389816,9011.366145912405,9113.335054087594,27153.986
97,9154.377799999998,41.42128675813932,9102.946479473143,9205.809120526854,27436.842
98,9245.4808,42.07987806778902,9193.231730354422,9297.729869645576,27719.693
99,9333.8946,42.709918956841804,9280.863231265088,9386.925968734911,28002.545
100,9427.8218,43.98166048138676,9373.21135559904,9482.43224440096,28285.4
101,9521.9792,45.14919626859363,9465.919068445452,9578.039331554548,28568.258
102,9611.9584,45.96063904908192,9554.890729158316,9669.026070841683,28851.107
103,9703.2756,46.381109552273095,9645.685846072198,9760.865353927804,29133.959
104,9795.4998,47.30630907394877,9736.761259134977,9854.238340865022,29416.816
105,9891.2582,47.93207227629518,9831.742671495223,9950.773728504777,29699.668
106,9982.655600000002,48.17240165592718,9922.841663156825,10042.469536843179,29982.521
107,10074.8426,49.04859127742607,10013.940730048209,10135.744469951791,30265.377
