t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,88.9659508,0.4775409224382738,88.37300542893938,89.55889617106062,89.33763
2,176.906754,0.6593294266374001,176.08808838798802,177.725419612012,171.6948
3,265.32603199999994,0.9583149116652598,264.13612687524335,266.51593712475653,250.54254
4,354.24432400000006,1.7527567969430444,352.06798898762895,356.4206590123712,326.04892
5,443.310648,2.487670122568498,440.22179756939954,446.3994984306005,399.07162
6,531.27581,2.8101300718116224,527.7865726595618,534.7650473404382,471.21393
7,619.32412,3.389158943897416,615.1159233551723,623.5323166448277,541.7256
8,707.7226880000001,3.9115611567148094,702.865843334935,712.5795326650651,610.39325
9,796.45961,4.547650523951908,790.8129560679964,802.1062639320036,677.71
10,885.45694,5.003796901154178,879.2439055335134,891.6699744664867,743.9913
11,973.8940200000001,5.622609332151763,966.9126284163027,980.8754115836974,807.48444
12,1062.30216,6.174226251766288,1054.6358455464172,1069.9684744535828,870.5644
13,1150.72068,6.66078838028951,1142.4502188685406,1158.9911411314592,933.34656
14,1239.9240599999998,7.442620465467748,1230.682826115734,1249.1652938842656,996.48944
15,1328.71796,7.68985106929906,1319.1697487757026,1338.2661712242973,1058.5925
16,1416.7821000000001,7.936053942294019,1406.9281875320505,1426.6360124679497,1120.3014
17,1504.9853600000001,8.643028399409594,1494.2536228010006,1515.7170971989997,1182.1976
18,1593.7536,9.3076065626454,1582.196680021718,1605.310519978282,1243.5519
19,1682.10734,10.115413594262915,1669.5473951130627,1694.6672848869373,1304.106
20,1770.4488399999998,10.487434685756096,1757.426969917183,1783.4707100828166,1364.2609
21,1859.3358799999999,11.079158603070914,1845.5792876321773,1873.0924723678224,1424.1891
22,1947.77372,11.301265883829105,1933.7413450179208,1961.806094982079,1483.7959
23,2035.7898799999998,11.837404318599498,2021.091801225413,2050.487958774587,1542.752
24,2123.94294,12.078668100126036,2108.9452926738213,2138.9405873261785,1601.1571
25,2212.29828,12.422582700751184,2196.8736062957682,2227.7229537042317,1658.8055
26,2300.92868,12.794284640299407,2285.042477379369,2316.814882620631,1716.1279
27,2389.4976199999996,13.333644386550827,2372.941713800368,2406.0535261996315,1773.2893
28,2478.45608,13.761483316561485,2461.3689416039438,2495.543218396056,1830.2006
29,2567.14424,14.440954739490149,2549.2134264002852,2585.075053599715,1886.2878
30,2656.46378,14.719410154350683,2638.187218336548,2674.740341663452,1942.3167
31,2745.5037199999997,15.202794587081735,2726.6269572891333,2764.380482710866,1998.0549
32,2833.86388,15.869480248325576,2814.1593177054483,2853.5684422945515,2053.5518
