t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean,da_ref_mean,planner_first-best_mean
1,195.40153600000002,4.376973474597488,189.96680561549948,200.83626638450056,0.0,567.7931,576.38336
2,484.015716,8.06271921738753,474.0045278201443,494.0269041798557,0.0,1135.5862,1152.7667
3,827.15977,10.515261508911683,814.1033483526866,840.2161916473134,0.0,1703.379,1729.1501
4,1190.59856,11.224412565608983,1176.6616110162972,1204.5355089837026,0.0,2271.1724,2305.5334
5,1569.2999399999999,12.622902402498386,1553.6265365339777,1584.973343466022,0.0,2838.965,2881.917
6,1948.4356,12.77819501514199,1932.5693752876714,1964.3018247123287,0.0,3406.758,3458.2998
7,2327.05708,12.652649157666653,2311.346741059022,2342.767418940978,0.0,3974.551,4034.683
8,2709.0512,12.323715386806047,2693.749286280093,2724.3531137199066,0.0,4542.3447,4611.067
9,3090.56492,12.866451138017927,3074.5891108372753,3106.5407291627243,0.0,5110.137,5187.4497
10,3469.4490400000004,12.106023903949648,3454.417425957072,3484.480654042929,0.0,5677.93,5763.834
11,3851.5580600000003,12.030176565537234,3836.6206228665383,3866.4954971334623,0.0,6245.7236,6340.217
12,4233.976720000001,11.524870723222945,4219.666702939022,4248.286737060979,0.0,6813.516,6916.6006
13,4613.36716,12.644992916289107,4597.666327538302,4629.067992461698,0.0,7381.3086,7492.983
14,4994.33982,13.352235210330985,4977.760830243784,5010.918809756216,0.0,7949.1016,8069.366
15,5378.7327000000005,12.66474371829132,5363.007343678521,5394.45805632148,0.0,8516.8955,8645.75
16,5758.002160000001,12.417334214838718,5742.584003151772,5773.42031684823,0.0,9084.689,9222.134
17,6140.27238,12.452426429094261,6124.810650412713,6155.734109587288,0.0,9652.482,9798.517
18,6526.57022,13.535986892797997,6509.763072395054,6543.377367604945,0.0,10220.274,10374.901
19,6907.929860000001,13.020059459081175,6891.763320915187,6924.096399084815,0.0,10788.066,10951.283
20,7289.0621,14.890008789117447,7270.573712153615,7307.550487846385,0.0,11355.86,11527.667
21,7674.495079999999,16.145265154589325,7654.448085516092,7694.542074483906,0.0,11923.652,12104.048
22,8053.48646,16.619898054982244,8032.8501309313115,8074.122789068689,0.0,12491.447,12680.434
23,8433.1983,17.18218810134535,8411.863795624195,8454.532804375805,0.0,13059.239,13256.818
24,8811.2798,17.901030241301562,8789.05273521862,8833.50686478138,0.0,13627.034,13833.199
25,9197.361,19.22416458522955,9173.491046938978,9221.230953061024,0.0,14194.828,14409.583
26,9575.1772,19.909208213789263,9550.456652928195,9599.897747071805,0.0,14762.619,14985.968
27,9956.978599999999,19.7188896188398,9932.494364675731,9981.462835324266,0.0,15330.414,15562.352
28,10339.843499999999,21.494754272845523,10313.15423746917,10366.532762530827,0.0,15898.205,16138.732
29,10716.661799999998,23.21623911618773,10687.835031715738,10745.488568284258,0.0,16466.0,16715.117
30,11100.884999999998,24.120880498025375,11070.934971080625,11130.835028919371,0.0,17033.791,17291.5
31,11483.490600000001,25.565763538373126,11451.746511827812,11515.23468817219,0.0,17601.584,17867.883
32,11867.6663,25.20315285733128,11836.372452455826,11898.960147544176,0.0,18169.377,18444.268
33,12250.939199999999,25.911150904581557,12218.766256769755,12283.112143230243,0.0,18737.168,19020.648
34,12630.268,25.79388649467167,12598.240659765812,12662.295340234188,0.0,19304.963,19597.031
35,13010.780600000002,26.7100999118313,12977.615630551056,13043.945569448948,0.0,19872.758,20173.418
36,13392.616,25.984392113343766,13360.352115797652,13424.879884202348,0.0,20440.549,20749.803
