t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,182.55323800000002,2.540728840582948,179.39850646945018,185.70796953054986,282.854
2,323.107398,4.564392338879299,317.4399563591365,328.7748396408635,565.708
3,436.055974,6.013740023232619,428.58892951859497,443.523018481405,848.56195
4,538.6554320000001,6.36275624003623,530.7550266474008,546.5558373525995,1131.416
5,633.4522399999998,6.851785397471238,624.9446247485415,641.9598552514582,1414.27
6,728.286094,7.358581337607132,719.1492084752392,737.4229795247609,1697.1239
7,822.523602,7.466235051819627,813.2530467340285,831.7941572659714,1979.978
8,914.6462740000001,7.300061829627184,905.5820500414904,923.7104979585097,2262.832
9,1008.241626,8.686831062906654,997.4555006107107,1019.0277513892893,2545.686
10,1105.8014600000001,8.25792128280481,1095.5478964431409,1116.0550235568594,2828.5396
11,1200.5118200000002,8.234757829286735,1190.2870176694482,1210.736622330552,3111.3943
12,1293.3663000000001,7.583673017740103,1283.949926239723,1302.7826737602772,3394.2478
13,1388.0665800000002,8.596573695199734,1377.3925239347652,1398.740636065235,3677.1023
14,1481.3215599999999,8.323421466140005,1470.9866672236174,1491.6564527763824,3959.956
15,1572.9715,8.016468849187872,1563.0177392372416,1582.9252607627586,4242.81
16,1666.9446199999998,8.244456560441002,1656.7077751041454,1677.181464895854,4525.664
17,1757.7066200000002,8.57439315940196,1747.060104707526,1768.3531352924742,4808.5186
18,1847.85122,9.314493653548784,1836.285748568891,1859.416691431109,5091.372
19,1938.5938,8.78479784030345,1927.686032790197,1949.5015672098032,5374.2256
20,2031.72206,9.7922112190251,2019.5634238665295,2043.8806961334706,5657.0796
21,2123.29024,9.853997934493329,2111.054885526365,2135.5255944736346,5939.9346
22,2217.1217,9.530083828067916,2205.288538010824,2228.954861989176,6222.788
23,2312.03212,9.990502431159246,2299.627272807262,2324.4369671927375,6505.642
24,2406.8123600000004,10.05614594131362,2394.3260056239883,2419.2987143760124,6788.495
25,2498.26946,10.741844558454458,2484.931698337466,2511.607221662534,7071.35
26,2593.93898,10.452681473765347,2580.960261729334,2606.917698270666,7354.2036
27,2688.1196200000004,10.4139990302476,2675.188932326813,2701.050307673188,7637.0586
28,2780.452,11.239117508283282,2766.4967924183834,2794.407207581617,7919.911
29,2875.51366,12.301385719625317,2860.2394722239233,2890.787847776077,8202.767
30,2968.53932,12.860899096564001,2952.570404607265,2984.5082353927346,8485.62
31,3062.0815,13.767409572428626,3044.9870031853893,3079.1759968146102,8768.475
32,3153.2573400000006,13.884798546540075,3136.0170855224496,3170.4975944775515,9051.329
33,3245.78072,14.212639659190698,3228.1333970157402,3263.42804298426,9334.182
34,3338.16864,14.445017948171634,3320.232781260348,3356.1044987396517,9617.037
35,3429.23684,14.9914263011563,3410.6225256801295,3447.8511543198706,9899.889
36,3522.63082,14.172151457771024,3505.0337697577947,3540.227870242205,10182.744
37,3616.3474599999995,14.082820518561011,3598.861328768937,3633.833591231062,10465.601
38,3707.46048,13.950566893750263,3690.138563333497,3724.7823966665032,10748.45
39,3796.7850599999997,14.163732980326868,3779.1984626781564,3814.371657321843,11031.307
40,3886.9758200000006,15.35863359521281,3867.905557603222,3906.046082396779,11314.161
41,3977.16924,15.728944384573317,3957.639176027926,3996.699303972074,11597.014
42,4066.3070399999997,16.354404279826316,4046.00036499367,4086.6137150063296,11879.869
43,4159.142539999999,16.855925116349933,4138.2131446266085,4180.071935373389,12162.723
44,4251.4909,17.051992978827908,4230.3180542205655,4272.663745779434,12445.578
45,4345.588519999999,17.207213212254803,4324.222942844926,4366.954097155072,12728.43
46,4438.154140000001,17.123662815764753,4416.892304364285,4459.415975635716,13011.285
47,4529.82348,17.69253598419385,4507.855295031502,4551.7916649684985,13294.138
48,4624.848319999999,19.00683030418301,4601.2482230913265,4648.448416908672,13576.992
49,4716.9346000000005,18.994664216037034,4693.349609284978,4740.519590715023,13859.849
50,4807.945320000001,19.185695048446668,4784.123133177828,4831.767506822173,14142.701
51,4901.4762,19.645000797276296,4877.0837097653375,4925.868690234663,14425.555
52,4996.41796,19.636857907593015,4972.035580498298,5020.800339501701,14708.409
53,5088.29002,20.58425041863317,5062.731297325173,5113.848742674828,14991.264
54,5182.06298,21.51202409600271,5155.352274151502,5208.773685848498,15274.117
55,5275.44404,21.703751103968255,5248.495273628228,5302.392806371773,15556.97
56,5368.750099999999,21.24161840962218,5342.3751471571895,5395.125052842809,15839.825
57,5458.33966,20.71379353143688,5432.620088305788,5484.059231694211,16122.677
58,5549.705279999999,21.29751003256001,5523.260928541186,5576.149631458812,16405.535
59,5644.606000000001,21.522006850663228,5617.8828989244375,5671.329101075564,16688.387
60,5734.81606,21.838997544713493,5707.699362991869,5761.932757008131,16971.244
61,5826.91298,22.491205944813235,5798.986459302139,5854.839500697861,17254.096
62,5918.71954,23.321744203703965,5889.761769846944,5947.677310153056,17536.951
63,6009.23338,23.514130579121993,5980.036730610842,6038.430029389157,17819.8
64,6101.00712,23.279234443104,6072.102132686253,6129.912107313748,18102.658
65,6193.2426,23.826411202277214,6163.658203003733,6222.826996996266,18385.514
66,6286.0932,25.00811656642716,6255.041521996584,6317.144878003416,18668.365
67,6380.35828,25.891507267673934,6348.209727566498,6412.5068324335025,18951.22
68,6471.283740000001,27.55908365889553,6437.064617997265,6505.502862002737,19234.074
69,6563.335260000002,27.587739558144293,6529.080556998832,6597.589963001171,19516.926
70,6655.2783,27.69243119446167,6620.893605163102,6689.662994836898,19799.78
71,6750.750600000001,28.867826626973343,6714.9064589709005,6786.594741029102,20082.633
72,6840.3222000000005,28.613371339200853,6804.79400694088,6875.850393059121,20365.488
73,6932.614500000001,29.285737953823173,6896.251453521909,6968.977546478092,20648.342
74,7026.058500000001,30.309044994852517,6988.424850009955,7063.692149990047,20931.195
75,7116.8559000000005,30.661674351705127,7078.784402832841,7154.92739716716,21214.049
