env_step,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi
32768,180.32745,46.458607,122.64147,238.01343
65536,103.74963,10.373728,90.86895,116.63032
98304,94.98008,3.161839,91.05414,98.90602
131072,97.17045,0.9595832,95.978966,98.36193
163840,97.08701,0.66254413,96.26436,97.90967
196608,96.89276,1.3943069,95.1615,98.62402
229376,96.298836,0.62470096,95.52317,97.0745
262144,102.4615,9.332679,90.87345,114.04955
294912,100.359375,7.324677,91.26459,109.45416
327680,97.66069,6.194578,89.96911,105.35227
360448,92.67168,6.5007477,84.59993,100.74342
393216,92.61409,5.044027,86.351105,98.877075
425984,93.75946,3.2993023,89.662834,97.85609
458752,92.79057,3.0221238,89.03811,96.54304
491520,95.12309,4.300276,89.78359,100.46259
524288,105.32741,20.573536,79.78199,130.87283
557056,97.46058,8.035499,87.48319,107.437965
589824,87.996796,6.2226634,80.27034,95.72325
622592,89.743126,5.4349985,82.99468,96.49157
655360,95.52329,2.0616553,92.96341,98.083176
688128,96.57695,1.2761008,94.99246,98.16144
720896,94.23572,4.8619246,88.19884,100.2726
753664,95.89549,2.55474,92.723366,99.06762
786432,109.158104,24.366484,78.90312,139.41309
819200,94.69738,2.9406343,91.0461,98.34866
851968,94.96433,4.3120117,89.61026,100.318405
884736,93.22716,5.2573085,86.69935,99.75497
917504,93.57002,4.915676,87.46641,99.67364
950272,94.056046,4.719035,88.19659,99.915504
983040,103.76207,23.953012,74.02048,133.50366
1015808,95.32875,6.2051497,87.62404,103.03346
1048576,105.98114,28.534456,70.550934,141.41135
1081344,93.43623,5.625165,86.45167,100.4208
1114112,96.37279,2.6038704,93.139656,99.60592
1146880,96.298904,1.5770872,94.34069,98.25712
1179648,95.11153,2.1506388,92.441154,97.7819
1212416,96.706345,1.6369989,94.673744,98.738945
1245184,96.01355,1.6394243,93.977936,98.049164
1277952,97.285645,2.6109161,94.04376,100.52753
1310720,102.221146,6.268191,94.438156,110.004135
1343488,95.22875,3.7003043,90.63422,99.82329
1376256,97.25355,1.9773303,94.79837,99.708725
1409024,95.35759,3.6247275,90.856895,99.858284
1441792,94.90195,6.0762386,87.3573,102.446594
1474560,97.31287,0.8193616,96.295494,98.33024
1507328,97.38507,0.75960493,96.441895,98.32825
