env_step,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi
32768,53.411003,5.520153,46.556828,60.26518
65536,65.29939,4.1611667,60.13262,70.46616
98304,83.75783,4.1357007,78.62268,88.892975
131072,91.24573,1.5038233,89.37849,93.11297
163840,91.89888,0.7889702,90.91924,92.87852
196608,92.02373,1.5025294,90.15809,93.889366
229376,91.861244,0.8439194,90.81338,92.90911
262144,84.19728,8.799776,73.27091,95.12365
294912,83.49725,8.4053,73.06069,93.933815
327680,84.28822,7.3295813,75.18735,93.3891
360448,84.85924,9.058898,73.61113,96.107346
393216,84.31518,5.8432,77.05988,91.57047
425984,85.01968,9.097147,73.724075,96.31528
458752,86.34836,5.3828993,79.664604,93.03211
491520,88.26913,7.7496376,78.64668,97.89157
524288,74.313255,16.61308,53.685394,94.94112
557056,65.57654,3.3654442,61.39779,69.75529
589824,74.05632,6.873076,65.52227,82.59037
622592,78.057655,7.2205577,69.09215,87.02316
655360,85.16033,8.670908,74.393974,95.92669
688128,88.491844,6.1258173,80.885635,96.09805
720896,85.80634,9.297401,74.26209,97.35059
753664,89.919106,5.0048747,83.704735,96.13348
786432,79.64829,17.068129,58.455414,100.84117
819200,84.66533,10.201999,71.99787,97.33279
851968,87.30511,7.0453,78.55721,96.053
884736,85.909645,7.892728,76.10953,95.70976
917504,85.27498,9.103811,73.97111,96.57885
950272,86.08171,7.4335613,76.85172,95.3117
983040,79.233376,16.886084,58.266533,100.20022
1015808,81.807846,10.982174,68.17168,95.444016
1048576,64.86979,7.278104,55.83283,73.906746
1081344,78.17717,8.535564,67.578865,88.775475
1114112,89.07061,4.58499,83.377594,94.763626
1146880,84.752,11.010563,71.08058,98.423416
1179648,84.82475,9.766539,72.69799,96.951515
1212416,88.15318,4.0279384,83.15184,93.154526
1245184,86.62416,5.3632193,79.96484,93.28348
1277952,88.37056,4.9566736,82.216034,94.525085
1310720,85.60313,7.628817,76.1307,95.075554
1343488,88.130394,7.1052523,79.30806,96.95273
1376256,87.33375,9.653014,75.347946,99.31955
1409024,88.501366,8.867155,77.49134,99.51139
1441792,87.59298,12.751498,71.7599,103.426056
1474560,90.419136,6.566331,82.26596,98.57231
1507328,93.043594,0.6370469,92.252594,93.834595
