env_step,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi
32768,217.24052,92.87379,101.922485,332.55856
65536,370.4392,20.714811,344.71838,396.16003
98304,387.95206,6.3969135,380.00925,395.89487
131072,383.52264,1.8688157,381.2022,385.84308
163840,383.66754,1.2916703,382.06372,385.27136
196608,384.11395,2.7300515,380.72415,387.50375
229376,385.1998,1.2157927,383.6902,386.7094
262144,372.9344,18.699896,349.7154,396.15338
294912,377.18195,14.649154,358.9926,395.37128
327680,382.47754,12.326207,367.17255,397.78253
360448,392.4248,13.041098,376.23215,408.61746
393216,392.58368,10.117066,380.02167,405.1457
425984,390.36908,6.680307,382.07437,398.6638
458752,392.32736,6.0145187,384.85934,399.79538
491520,387.64926,8.6462145,376.91357,398.38495
524288,367.22833,41.098534,316.19775,418.2589
557056,383.0284,16.00107,363.16046,402.89636
589824,401.97366,12.343507,386.6472,417.30014
622592,398.41595,10.974305,384.78955,412.04236
655360,386.83087,4.1202283,381.71494,391.9468
688128,384.67838,2.563071,381.4959,387.86084
720896,389.40594,9.765632,377.2803,401.5316
753664,386.13177,5.1281333,379.76434,392.4992
786432,359.6159,48.721638,299.12,420.11182
819200,388.46515,5.871874,381.17426,395.75604
851968,388.0083,8.608737,377.31915,398.69745
884736,391.45944,10.584236,378.31738,404.6015
917504,390.7672,9.7891655,378.61237,402.92206
950272,389.758,9.392997,378.09506,401.42093
983040,370.38916,47.856903,310.96698,429.81134
1015808,387.26862,12.588038,371.6385,402.89874
1048576,366.0427,57.092304,295.15323,436.93216
1081344,391.07993,11.317071,377.02792,405.13193
1114112,385.13773,5.265422,378.59985,391.6756
1146880,385.2717,3.1850364,381.31696,389.22644
1179648,387.66882,4.261854,382.37704,392.9606
1212416,384.4582,3.2979033,380.3633,388.55307
1245184,385.89517,3.2440248,381.8672,389.92316
1277952,383.30045,5.120133,376.94296,389.65793
1310720,373.4478,12.576559,357.83197,389.06366
1343488,387.4776,7.3861303,378.30652,396.64868
1376256,383.45963,3.9562995,378.54724,388.372
1409024,387.27554,7.2441297,378.28076,396.27032
1441792,388.19516,12.174618,373.07837,403.31195
1474560,383.33917,1.5821682,381.37466,385.30368
1507328,383.22702,1.5153372,381.3455,385.10855
