env_step,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi
32768,180.35516,46.415207,122.72307,237.98726
65536,103.73433,10.341314,90.89389,116.57477
98304,94.99103,3.2351027,90.97412,99.007935
131072,97.230034,0.9100765,96.10002,98.36005
163840,97.16861,0.6332251,96.382355,97.954865
196608,96.91646,1.3363289,95.25719,98.57573
229376,96.424545,0.59470767,95.68612,97.16297
262144,102.527306,9.367315,90.89625,114.15836
294912,100.381836,7.324684,91.28704,109.47663
327680,97.784935,6.1316714,90.17146,105.39841
360448,92.82669,6.540715,84.70532,100.94806
393216,92.725426,5.0730486,86.42641,99.024445
425984,93.7946,3.3815045,89.59591,97.99329
458752,92.80522,2.9926274,89.089386,96.52106
491520,95.150826,4.34618,89.75433,100.54732
524288,105.36743,20.525019,79.882256,130.8526
557056,97.43417,7.9658475,87.54327,107.32508
589824,87.9527,6.121145,80.352295,95.5531
622592,89.76411,5.539354,82.88609,96.64212
655360,95.569016,2.0590684,93.012344,98.12569
688128,96.66786,1.2886657,95.06777,98.26795
720896,94.28153,4.90388,88.19256,100.37051
753664,95.89591,2.573781,92.70014,99.09168
786432,109.14913,24.355206,78.90815,139.39012
819200,94.760635,2.9324195,91.11955,98.40172
851968,94.95051,4.2968955,89.615204,100.28581
884736,93.23654,5.3270197,86.62217,99.850914
917504,93.585915,4.873531,87.53463,99.6372
950272,94.10911,4.6742406,88.305275,99.91294
983040,103.77191,23.903896,74.0913,133.45251
1015808,95.325775,6.383107,87.4001,103.25145
1048576,105.899315,28.557917,70.43997,141.35866
1081344,93.407,5.6919527,86.33951,100.47449
1114112,96.41264,2.661875,93.10749,99.7178
1146880,96.35256,1.6090226,94.3547,98.350426
1179648,95.142815,2.1114726,92.52107,97.76456
1212416,96.75859,1.6622094,94.69469,98.822495
1245184,96.01446,1.6060067,94.02034,98.008575
1277952,97.337105,2.509771,94.22081,100.4534
1310720,102.2542,6.3084216,94.421265,110.08714
1343488,95.216805,3.6868281,90.639,99.79461
1376256,97.20999,1.9819362,94.74909,99.67089
1409024,95.290016,3.6197832,90.79546,99.78457
1441792,94.82604,6.0986104,87.25362,102.39847
1474560,97.271126,0.7631345,96.32357,98.21868
1507328,97.31108,0.7563843,96.3719,98.25026
