t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,11.6174162,0.06817762739067898,11.568644863413382,11.666187536586616,12.205259
2,23.0331921,0.17907936542677258,22.905086439225116,23.161297760774886,24.410519
3,34.0041241,0.3694451669596968,33.73983894843789,34.268409251562105,36.615784
4,44.703027000000006,0.6822983209566191,44.214940184171496,45.191113815828515,48.821037
5,55.15862460000001,0.9987924008067819,54.44413155845186,55.87311764154816,61.0263
6,65.3721904,1.3756365841346325,64.38811926943339,66.3562615305666,73.23156
7,75.19795350000001,1.7218266190848526,73.96623293715353,76.42967406284649,85.43682
8,84.77573439999999,2.101669706448089,83.27229046142301,86.27917833857697,97.642075
9,94.2359575,2.5105480899267674,92.44001958609942,96.03189541390057,109.84734
10,103.35145370000001,2.9903749675580493,101.21226831551556,105.49063908448446,122.052605
11,112.25283329999999,3.586869614990954,109.68694135009987,114.81872524990011,134.25786
12,120.6003486,4.191751633506058,117.60175012085763,123.59894707914238,146.46312
13,128.5892476,4.812819835605258,125.14636369340717,132.0321315065928,158.66837
14,136.0334275,5.466102425303332,132.12321338131625,139.94364161868373,170.87361
15,143.051855,6.079044212224756,138.703168741084,147.40054125891598,183.07889
16,149.791721,6.719328620250769,144.98500286801726,154.59843913198273,195.28415
17,156.239914,7.394344699712073,150.9503184539334,161.5295095460666,207.48941
18,162.756088,8.143057732671293,156.9308954152158,168.58128058478422,219.69464
19,168.870194,8.864589545437008,162.52884865007627,175.21153934992373,231.89995
20,174.75213,9.6420369398299,167.85463228746843,181.64962771253155,244.10516
21,180.34421500000002,10.41870572400243,172.8911219090588,187.79730809094124,256.31042
22,185.96225899999996,11.149019601339596,177.98673083337937,193.93778716662055,268.5157
23,191.310152,11.840732706191043,182.8398020868735,199.78050191312647,280.72095
24,196.33971300000002,12.530557081787482,187.37589245588373,205.3035335441163,292.92624
25,201.11118700000003,13.181236147282371,191.68189869281142,210.54047530718864,305.13144
26,205.73159299999998,13.825699667314456,195.84128326311026,215.6219027368897,317.3367
27,210.45958299999998,14.396947201429775,200.16062739456217,220.7585386054378,317.3367
28,214.93531900000002,14.922451784639035,204.2604400618442,225.61019793815584,329.542
29,219.113827,15.410521594115892,208.08980395303914,230.13785004696084,329.542
30,223.02057800000003,15.92369764897644,211.6294509182159,234.41170508178416,341.74722
31,226.87264400000004,16.367903567600568,215.1637511466551,238.58153685334497,341.74722
32,230.47305599999999,16.778671493190522,218.47031747433303,242.47579452566694,353.95245
33,234.23228899999998,17.213827054818108,221.91825893815118,246.54631906184878,353.95245
34,237.573398,17.599997441079225,224.98311828545795,250.16367771454205,366.1577
35,241.10623400000003,17.93816237977272,228.27404566120643,253.93842233879363,366.1577
36,244.69596899999996,18.274052661835054,231.62349922828466,257.7684387717153,378.36298
37,248.27152700000002,18.579323444794493,234.9806796655036,261.56237433449644,378.36298
38,251.78937200000001,18.894954666739775,238.27273569114507,265.3060083088549,390.5683
39,254.809681,19.11047038526637,241.13887403355184,268.4804879664482,390.5683
40,257.858712,19.406525112802075,243.97612023966394,271.7413037603361,402.77353
41,260.803002,19.696267280356448,246.71314117915296,274.89286282084703,402.77353
42,263.759144,19.954397845893073,249.48462769645423,278.03366030354573,414.97876
43,266.63384399999995,20.245528872613495,252.1510651059474,281.1166228940525,414.97876
44,269.726544,20.57317752540872,255.0093793794384,284.4437086205616,427.18405
45,272.62894199999994,20.85134796349616,257.7127862355156,287.5450977644843,427.18405
46,275.49389199999996,21.23708673980224,260.3017953379844,290.6859886620155,439.38925
47,278.246009,21.464387972692215,262.891310831301,293.60070716869905,439.38925
48,281.00112,21.674284837298686,265.49627065966314,296.5059693403369,451.59454
