t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean,da_ref_mean,planner_first-best_mean
1,0.09729945100000001,0.13635529832843366,-0.00024325332493523033,0.19484215532493526,0.0,23.332132,23.684992
2,0.597881139,0.3581575991443676,0.34167062702620354,0.8540916509737964,0.0,46.664265,47.369984
3,1.98813992,0.7388903954241097,1.4595695728779678,2.5167102671220323,0.0,69.99638,71.05496
4,3.922474780000001,1.3645960620096378,2.946301563181033,4.898647996818968,0.0,93.32853,94.73997
5,6.343403299999999,1.9975842061212168,4.914417642893259,7.77238895710674,0.0,116.66065,118.42496
6,9.248408899999998,2.7512767972919794,7.280264042820328,11.216553757179668,0.0,139.99277,142.10992
7,12.929027350000002,3.4436495575375976,10.465588857272659,15.392465842727345,0.0,163.32492,165.79494
8,17.105583199999995,4.203336401092716,14.09869747736044,20.112468922639547,0.0,186.65704,189.47992
9,21.5172525,5.021092086954307,17.925379600082582,25.10912539991742,0.0,209.98918,213.16492
10,26.618397800000004,5.980751324539004,22.34002603709783,30.89676956290218,0.0,233.3213,236.84991
11,32.14777540000001,7.173731756849927,27.015996846156344,37.279553953843674,0.0,256.65344,260.53488
12,38.784854300000006,8.383512412891681,32.78765079914715,44.78205780085286,0.0,279.98553,284.21985
13,46.1392128,9.625635937109077,39.253447658029614,53.02497794197039,0.0,303.31772,307.9049
14,54.582994,10.932218912077545,46.76255570366222,62.403432296337776,0.0,326.64987,331.58984
15,63.87825839999999,12.158084298881912,55.18088883342131,72.57562796657868,0.0,349.98196,355.2748
16,73.73063929999999,13.438663824565895,64.11719832607864,83.34408027392135,0.0,373.3141,378.95987
17,84.16639599999999,14.788695149770614,73.58720079431671,94.74559120568327,0.0,396.6463,402.64478
18,94.46618029999999,16.28610290400489,82.8158041162712,106.11655648372879,0.0,419.97836,426.32986
19,105.5700975,17.72919307223498,92.88739679848945,118.25279820151056,0.0,443.31052,450.01483
20,117.13831610000003,19.28407205527755,103.34332198002132,130.93331021997872,0.0,466.6426,473.69977
21,129.286341,20.837400384137517,114.38016273273143,144.19251926726855,0.0,489.9748,497.3848
22,141.3823616,22.298022559952784,125.43131717224809,157.3334060277519,0.0,513.30695,521.0698
23,154.01870460000004,23.6814651137333,137.07800498738754,170.95940421261253,0.0,536.6389,544.7547
24,167.291711,25.06111024081887,149.36407271793806,185.21934928206193,0.0,559.97107,568.43964
25,181.080904,26.36246780060799,162.2223306004058,199.9394773995942,0.0,583.30334,592.12476
26,195.172209,27.651420923514323,175.3915740824623,214.9528439175377,0.0,606.63544,615.80975
27,209.04838,28.793880656644546,188.4504786225742,229.64628137742582,24.410519,629.9675,639.49475
28,223.42903100000004,29.844906385622416,202.07927110899706,244.778790891003,24.410519,653.2998,663.1797
29,238.40414099999998,30.821021528036283,216.3561104008487,260.45217159915126,48.821037,676.6317,686.8647
30,253.922773,31.84739553235923,231.14051866874755,276.7050273312525,48.821037,699.9639,710.5497
31,269.550755,32.73582929828833,246.1329534387926,292.9685565612074,73.23157,723.29596,734.2347
32,285.6820879999999,33.55736289224593,261.67659670886803,309.6875792911318,73.23157,746.6282,757.91974
33,301.49573399999997,34.427628694256015,276.8676920573701,326.12377594262983,97.642075,769.96027,781.6046
34,318.145672,35.199984637278774,292.9651198996613,343.32622410033866,97.642075,793.2926,805.2896
35,334.412112,35.87634425548115,308.7477213758606,360.0765026241394,122.0526,816.6245,828.9747
36,350.56476299999997,36.54808749666514,324.4198362092405,376.70968979075946,122.0526,839.9567,852.65967
37,366.745795,37.15862089907215,340.1641189235029,393.3274710764971,146.46313,863.28876,876.3448
38,383.042216,37.789887746165995,356.008958824924,410.075473175076,146.46313,886.62103,900.02966
39,400.33374399999997,38.22090103308258,372.992158493563,427.6753295064369,170.87364,909.9532,923.71466
40,417.56781500000005,38.81307398754768,389.80261448105745,445.33301551894266,170.87364,933.28516,947.3996
41,435.01134199999996,39.39255888322023,406.8316029590323,463.1910810409676,195.28415,956.6173,971.08453
42,452.43124400000005,39.90880417876492,423.88220532168964,480.98028267831046,195.28415,979.9495,994.7696
43,470.01394700000003,40.49106053737734,441.0483872145109,498.97950678548915,219.69466,1003.2815,1018.4546
44,487.160635,41.14635783558526,457.7263037667739,516.5949662332262,219.69466,1026.6136,1042.1395
45,504.688015,41.70268039154991,474.85571458441734,534.5203154155827,244.10521,1049.9458,1065.8246
46,522.2902019999999,42.474153976247926,491.9060226278296,552.6743813721703,244.10521,1073.2778,1089.5094
47,540.1181300000001,42.928767236968255,509.40873989222763,570.8275201077726,268.51572,1096.61,1113.1946
48,557.940036,43.34854690503457,526.9303536076902,588.9497183923097,268.51572,1119.9421,1136.8794
49,575.391883,43.75142665795254,544.0939977941646,606.6897682058354,292.92624,1143.2743,1160.5645
50,593.179976,44.236336179047086,561.5352074194788,624.8247445805213,292.92624,1166.6064,1184.2494
51,611.5625689999999,44.49215616652134,579.7347978247536,643.3903401752463,317.33673,1189.9386,1207.9344
52,629.4425669999999,44.61237129649404,597.5287991013255,661.3563348986744,317.33673,1213.2708,1231.6195
53,647.329395,44.8186830304132,615.2680405776837,679.3907494223163,341.74722,1236.6029,1255.3043
54,665.0954119999999,44.87263722912386,632.9954610690298,697.19536293097,341.74722,1259.935,1278.9894
55,683.1998500000001,44.94106326642334,651.0509500306996,715.3487499693006,366.15778,1283.267,1302.6744
56,700.9470049999999,45.11831206353391,668.6713088796114,733.2227011203884,366.15778,1306.5992,1326.3595
57,718.486687,45.43508624322787,685.9843842825342,750.9889897174658,390.5683,1329.931,1350.0444
58,736.79303,45.47646868383446,704.2611240678604,769.3249359321397,390.5683,1353.2634,1373.7294
59,755.3526539999999,45.54696916551777,722.7703150614138,787.934992938586,414.97882,1376.5953,1397.4142
60,773.08307,45.71887484808971,740.3777571442105,805.7883828557896,414.97882,1399.9277,1421.0994
61,791.148751,45.84840265771547,758.3507795310794,823.9467224689205,439.38928,1423.2599,1444.7843
62,809.1021450000001,45.751043255679186,776.3738202516873,841.8304697483128,439.38928,1446.592,1468.4694
63,827.626826,45.68391794921934,794.9465198032287,860.3071321967714,463.7999,1469.924,1492.1542
64,846.1914210000001,45.60852901713924,813.5650447964262,878.8177972035741,463.7999,1493.2561,1515.8391
65,864.740426,45.65315836882684,832.0821238814872,897.3987281185127,488.21033,1516.5883,1539.5242
66,883.2800750000002,45.72472434423252,850.5705776667485,915.989572333252,488.21033,1539.9202,1563.209
67,901.971766,45.7839964498407,869.2198679566701,934.7236640433299,512.62085,1563.2524,1586.8942
68,920.459398,45.70427857347805,887.7645266900554,953.1542693099445,512.62085,1586.5846,1610.5792
69,939.024236,45.681966073255786,906.3453260911789,971.703145908821,537.0314,1609.917,1634.2642
70,957.484569,45.654691554912354,924.8251701062328,990.1439678937671,537.0314,1633.2489,1657.9493
71,975.9829729999999,45.71787270182103,943.2783770364645,1008.6875689635353,561.44196,1656.5809,1681.6342
72,994.4663579999999,45.900049684365946,961.6314404738921,1027.3012755261077,561.44196,1679.9132,1705.3192
73,1012.3408040000002,45.90373796557655,979.5032480364572,1045.1783599635432,585.8525,1703.2452,1729.004
74,1030.632679,45.93417696786916,997.7733482859562,1063.492009714044,585.8525,1726.5773,1752.689
75,1049.2338840000002,45.9401104800914,1016.3703087070115,1082.097459292989,610.2629,1749.9094,1776.3743
76,1067.9373600000001,45.95346882477246,1035.0642287228916,1100.8104912771087,610.2629,1773.2417,1800.0588
77,1086.571327,46.021682776773375,1053.649398401244,1119.4932555987561,634.6734,1796.5739,1823.7441
78,1105.17873,46.17022345933097,1072.1505417981589,1138.2069182018413,634.6734,1819.9061,1847.4291
79,1123.721915,46.32995639867752,1090.5794607368864,1156.8643692631138,659.084,1843.238,1871.1139
80,1141.7845199999997,46.34897274577343,1108.6284622616645,1174.940577738335,659.084,1866.5701,1894.799
81,1160.26487,46.424873187717644,1127.0545163563538,1193.4752236436461,683.49445,1889.9027,1918.4841
82,1178.3167100000003,46.53030166116244,1145.0309373697894,1211.6024826302112,683.49445,1913.2343,1942.1687
83,1196.50526,46.98569660792056,1162.8937174496814,1230.1168025503184,707.9049,1936.5668,1965.854
84,1215.0605900000003,47.250832690309984,1181.2593805221227,1248.8617994778779,707.9049,1959.8989,1989.5391
85,1233.5228900000002,47.47906327072432,1199.5584142002695,1267.487365799731,732.3154,1983.2311,2013.2239
86,1251.8491999999999,47.64051092920344,1217.7692315028232,1285.9291684971765,732.3154,2006.5632,2036.909
87,1270.59442,47.600869878975004,1236.542809001864,1304.6460309981358,756.72595,2029.8954,2060.594
88,1288.3953700000002,47.70114483701973,1254.2720266181311,1322.5187133818692,756.72595,2053.2278,2084.279
89,1306.96791,47.81738950624667,1272.7614101912172,1341.174409808783,781.13654,2076.5596,2107.9639
90,1325.5472299999997,47.84767715648503,1291.3190637114533,1359.775396288546,781.13654,2099.8914,2131.6487
91,1344.21893,47.92448062462553,1309.9358218201169,1378.5020381798831,805.5471,2123.2236,2155.334
92,1362.63802,47.927988339238915,1328.352402552244,1396.9236374477562,805.5471,2146.556,2179.0188
93,1381.2192999999997,48.05417730370128,1346.8434124050582,1415.5951875949413,829.9575,2169.888,2202.7039
94,1399.69422,48.03059795777874,1365.3352000530026,1434.0532399469976,829.9575,2193.2205,2226.389
95,1418.1939700000003,48.21527326061386,1383.7028412997574,1452.685098700243,854.3681,2216.5522,2250.0737
96,1436.72173,48.29606679759633,1402.1728050851189,1471.270654914881,854.3681,2239.8845,2273.759
97,1455.24577,48.404142999496116,1420.6195320277188,1489.8720079722812,878.7785,2263.2168,2297.4438
98,1474.0200799999998,48.42483513381678,1439.379039766533,1508.6611202334666,878.7785,2286.5486,2321.1287
99,1492.5268599999997,48.673831067062004,1457.7076988061274,1527.346021193872,903.189,2309.881,2344.814
100,1510.8471,48.751093624906936,1475.9726685018004,1545.7215314981995,903.189,2333.213,2368.499
101,1529.0541400000002,48.85178312981696,1494.1076795691044,1564.000600430896,927.59955,2356.5452,2392.1836
102,1547.25822,49.02054492386727,1512.1910346542663,1582.3254053457335,927.59955,2379.8772,2415.869
103,1565.6291500000002,49.20454102300922,1530.4303417740737,1600.8279582259267,952.01013,2403.2095,2439.5542
104,1584.59256,49.22987960093612,1549.375625647366,1619.8094943526341,952.01013,2426.5417,2463.2393
105,1603.5493300000003,49.35328163372614,1568.244119150999,1638.8545408490015,976.4206,2449.874,2486.9243
106,1621.8353000000002,49.41472454861562,1586.4861355375099,1657.1844644624905,976.4206,2473.205,2510.6086
107,1639.82068,49.51074973672777,1604.4028232560465,1675.2385367439535,1000.8311,2496.5376,2534.2937
108,1657.7783299999999,49.59648962468234,1622.299138635081,1693.2575213649188,1000.8311,2519.8699,2557.9788
109,1676.51582,49.64382375898223,1641.0027678352217,1712.0288721647785,1025.2416,2543.2024,2581.664
110,1695.43784,49.71870506922362,1659.8712209728124,1731.0044590271877,1025.2416,2566.5344,2605.3489
111,1713.81453,49.97836750784282,1678.0621596541248,1749.5669003458754,1049.6522,2589.8662,2629.034
112,1732.4906999999998,50.00847494868581,1696.7167920883965,1768.2646079116032,1049.6522,2613.1987,2652.719
113,1751.22016,50.078979501232766,1715.39581616983,1787.0445038301702,1074.0627,2636.5305,2676.4038
114,1769.8046,50.29320038377176,1733.8270117821023,1805.7821882178976,1074.0627,2659.8628,2700.0889
115,1788.50473,50.30799333015362,1752.5165595457486,1824.4929004542516,1098.4731,2683.1953,2723.774
116,1806.8727800000004,50.291262396956725,1770.8965781343545,1842.8489818656462,1098.4731,2706.5276,2747.4595
117,1825.2534300000002,50.41140138542407,1789.191285879278,1861.3155741207224,1122.8837,2729.8594,2771.1443
118,1843.4861399999998,50.6002234291993,1807.2889207262633,1879.6833592737362,1122.8837,2753.192,2794.8293
119,1861.4407299999998,50.91469293684728,1825.0185527922504,1897.8629072077492,1147.2942,2776.5237,2818.514
120,1879.69077,51.11390161685851,1843.126087487275,1916.2554525127248,1147.2942,2799.856,2842.199
121,1898.34272,51.49679922836198,1861.5041290366066,1935.1813109633936,1171.7046,2823.1882,2865.8843
