t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,11.6174163,0.06817758491542535,11.56864499379835,11.666187606201651,12.205259
2,23.033192899999996,0.17907893917950132,22.90508754414404,23.161298255855954,24.410519
3,34.0041239,0.36944523529218826,33.739838699555776,34.26840910044423,36.615784
4,44.703027500000005,0.6822980135506527,44.21494090407648,45.19111409592353,48.821037
5,55.158626500000004,0.998790855817423,54.44413456367066,55.87311843632935,61.0263
6,65.3721894,1.3756367400340834,64.38811815790964,66.35626064209035,73.23157
7,75.19795350000001,1.7218266190848526,73.96623293715353,76.42967406284649,85.43682
8,84.77573249999999,2.101670103703943,83.27228827724329,86.27917672275669,97.642075
9,94.23595700000001,2.5105479591861113,92.44001917962566,96.03189482037436,109.84733
10,103.3514541,2.990374977874719,101.21226870813544,105.49063949186456,122.052605
11,112.2528329,3.586869828698942,109.6869407972224,114.8187250027776,134.25786
12,120.6003486,4.1917528864771585,117.6017492245361,123.5989479754639,146.46312
13,128.58924910000002,4.812819268751983,125.1463655989096,132.03213260109044,158.66837
14,136.0334255,5.4661037288184104,132.12321044883774,139.94364055116225,170.87361
15,143.051851,6.079041827823871,138.70316644678167,147.40053555321833,183.07889
16,149.791721,6.719328620250769,144.98500286801726,154.59843913198273,195.28415
17,156.239914,7.394346822210723,150.9503169355893,161.52951106441068,207.48941
18,162.756086,8.14306101186389,156.9308910694227,168.58128093057732,219.69464
19,168.870194,8.864589545437008,162.52884865007627,175.21153934992373,231.89995
20,174.752136,9.642038496209302,167.85463717410167,181.64963482589835,244.10516
21,180.344211,10.41870986376,172.89111494765461,187.7973070523454,256.31042
22,185.96226,11.1490199055931,177.98673161572955,193.93778838427042,268.5157
23,191.310151,11.840733582938228,182.83980045968636,199.78050154031362,280.72098
24,196.33970800000003,12.530559914568684,187.37588542943413,205.30353057056593,292.92624
25,201.11118700000003,13.181236147282371,191.68189869281142,210.54047530718864,305.13144
26,205.731587,13.825699973213375,195.84127704428337,215.6218969557166,317.3367
27,210.45958299999998,14.396947201429775,200.16062739456217,220.7585386054378,317.3367
28,214.93532,14.922448927706204,204.26044310557083,225.61019689442915,329.542
29,219.113827,15.410520241255142,208.08980492081741,230.13784907918256,329.542
30,223.02057399999998,15.923695448638938,211.6294484922425,234.41169950775748,341.74722
31,226.87264199999998,16.367899708294082,215.1637519074366,238.58153209256338,341.74722
32,230.473057,16.778674786843133,218.4703161181959,242.4757978818041,353.95245
33,234.23228600000002,17.213825899201037,221.91825676482986,246.54631523517017,353.95245
34,237.57339000000002,17.60000028877398,224.98310824833985,250.1636717516602,366.1577
35,241.10623500000003,17.93816293221754,228.27404626601123,253.93842373398883,366.1577
36,244.69596399999995,18.274055230859215,231.62349239051545,257.7684356094844,378.36298
37,248.27152500000003,18.579323007586368,234.98067797826346,261.56237202173656,378.36298
38,251.78936799999997,18.89495795424201,238.2727293394076,265.30600666059235,390.56827
39,254.80968000000001,19.110470660595688,241.13887283659312,268.4804871634069,390.56827
40,257.858707,19.406523840058437,243.97611615012983,271.74129784987014,402.77356
41,260.80300300000005,19.696276557576414,246.71313554262966,274.89287045737046,402.77356
42,263.759145,19.954396607574004,249.48462958229433,278.0336604177057,414.97876
43,266.63384299999996,20.245533245129547,252.15106097803786,281.1166250219621,414.97876
44,269.726549,20.573183779150977,255.00937990578066,284.44371809421926,427.18405
45,272.62893499999996,20.851349800182803,257.71277792162914,287.54509207837077,427.18405
46,275.49388799999997,21.23708500441244,260.3017925794075,290.68598342059244,439.38925
47,278.246,21.464392152492405,262.891298841252,293.60070115874794,439.38925
48,281.001119,21.674288832534312,265.49626680164374,296.5059711983563,451.5945
49,283.941272,21.875695801341223,268.2923419355971,299.59020206440294,451.5945
50,286.71326500000004,22.118183353194706,270.8908697907668,302.53566020923324,463.79977
51,289.188049,22.246084043231537,273.27415914887047,305.1019388511295,463.79977
52,291.914143,22.306188838199162,275.9572567687085,307.8710292312916,476.00507
53,294.636757,22.40931303247234,278.6061001641625,310.66741383583746,476.00507
54,297.41983,22.436329817296574,281.36984652056134,313.46981347943864,488.2103
55,300.033674,22.470532151511087,283.95922364458073,316.1081243554193,488.2103
56,302.826154,22.5591682755047,286.68829718116336,318.9640108188366,500.41556
57,305.72236599999997,22.717539543824916,289.47121720066315,321.9735147993368,500.41556
58,308.235274,22.73822432836254,291.9693281971957,324.5012198028043,512.6208
59,310.62153,22.773515142056283,294.3303386699025,326.9127213300975,512.6208
60,313.422378,22.8594215275408,297.0697329437792,329.7750230562208,524.8261
61,316.055593,22.92421878639224,299.65659477717185,332.4545912228281,524.8261
62,318.74498800000003,22.875543681552053,302.38080984956815,335.1091661504319,537.0314
63,321.14870699999994,22.841952943477136,304.80855821602665,337.48885578397324,537.0314
64,323.532479,22.80425936797649,307.21929457557184,339.8456634244282,549.2366
65,325.924057,22.826576476525023,309.5949078778503,342.2532061221497,549.2366
66,328.32029,22.862342789411496,311.96555519892587,344.67502480107413,561.44183
67,330.640502,22.892003426098523,314.2645492576363,347.01645474236375,561.44183
68,333.06278000000003,22.852154684214007,316.71533333033767,349.4102266696624,573.6471
69,335.44639799999993,22.84098815847063,319.10693938164377,351.7858566183561,573.6471
70,337.88229800000005,22.82734775703466,321.55259713701133,354.21199886298876,585.8523
71,340.29917200000006,22.85896070373757,323.94685659726935,356.65148740273077,585.8523
72,342.723566,22.950021793837248,326.30610941760125,359.14102258239876,598.0576
73,345.45237399999996,22.951880952983732,329.0335874552665,361.8711605447334,598.0576
74,347.972506,22.967095497999928,331.542835625418,364.40217637458204,610.2628
75,350.33794800000004,22.970062463506135,333.9061551861534,366.7697408138467,610.2628
76,352.6522960000001,22.976767037752722,336.21570702266456,369.0888849773356,622.46814
77,355.00138599999997,23.010877021752712,338.5403962100475,371.46237578995243,622.46814
78,357.36374600000005,23.085155919680034,340.84962028744735,373.87787171255275,634.67346
79,359.758225,23.164985952079704,343.1869923224663,376.32945767753364,634.67346
80,362.393002,23.174450272748313,345.8149989553158,378.97100504468426,646.8787
81,364.818856,23.21242257794075,348.2136892045607,381.42402279543927,646.8787
82,367.459043,23.2651137799668,350.8161831893075,384.10190281069254,659.0839
83,370.030796,23.492860624286685,353.22501591141025,386.83657608858977,659.0839
84,372.419201,23.625449958595937,355.518572215454,389.31982978454596,671.2892
85,374.854145,23.739509052479143,357.87192325495596,391.8363667450441,671.2892
86,377.35705199999995,23.82023806292446,360.31708019982165,394.39702380017826,683.4945
87,379.650488,23.800435442828817,362.62468214086346,396.67629385913654,683.4945
88,382.416065,23.85054848090093,365.3544104329994,399.47771956700063,695.6998
89,384.79586900000004,23.90865758488634,367.69264568416367,401.8990923158364,695.6998
90,387.17231100000004,23.92384340519235,370.05822440273494,404.28639759726514,707.9049
91,389.50251499999996,23.962284909781886,372.36092900695087,406.64410099304905,707.9049
92,391.9590390000001,23.963975038271496,374.81624396186396,409.1018340381362,720.1103
93,394.334451,24.027087485112595,377.14650803716336,411.52239396283665,720.1103
94,396.76305199999996,24.01530691217204,379.58353635137263,413.9425676486273,732.31555
95,399.179261,24.10759542002452,381.9337261299387,416.4247958700613,732.31555
96,401.58144500000003,24.147978593157756,384.30702174815286,418.8558682518472,744.52075
97,403.985439,24.202054842499756,386.672331929737,421.29854607026294,744.52075
98,406.264436,24.21238611982131,388.94393837915754,423.58493362084243,756.7261
99,408.6770680000001,24.33690502961605,391.267494917112,426.08664108288815,756.7261
100,411.18301600000007,24.37551434848969,393.7458234742209,428.6202085257792,768.9312
101,413.745611,24.42584662875394,396.2724129299406,431.2188090700594,768.9312
102,416.309627,24.51021597367244,398.7760747364009,433.84317926359904,781.1364
103,418.790218,24.602272070912843,401.19081277150326,436.3896232284967,781.1364
104,420.9745860000001,24.614906469560804,403.36614266717777,438.58302933282243,793.3418
105,423.162251,24.676600296742414,405.5096745618476,440.81482743815246,793.3418
106,425.685353,24.707324946355502,408.0107974715633,443.35990852843673,805.547
107,428.358745,24.755352667446044,410.64983250960313,446.06765749039687,805.547
108,431.04594099999997,24.79823651675097,413.30635125184824,448.7855307481517,817.7523
109,433.343304,24.821894842388293,415.5867901052199,451.0998178947801,817.7523
110,435.54837100000003,24.859315519830773,417.7650879651854,453.3316540348147,829.95764
111,438.02607100000006,24.989131930966604,420.14992289897106,455.90221910102906,829.95764
112,440.35410199999995,25.00420750308227,422.4671694843465,458.2410345156534,842.16284
113,442.65536000000003,25.03952884945855,424.74316011528816,460.5675598847119,842.16284
114,445.02926399999996,25.146550996383937,427.0405050833932,463.0180229166067,854.36804
115,447.34522200000004,25.153981299323746,429.3511477648718,465.33929623512824,854.36804
116,449.8272860000001,25.14558109609817,431.83922090826087,467.8153510917393,866.5733
117,452.30303599999996,25.20564486194805,434.2720038785614,470.3340681214385,866.5733
118,454.85277399999995,25.300059307695605,436.7542018527725,472.9513461472274,878.7786
119,457.54151599999994,25.457301004455896,439.33045991908847,475.7525720809114,878.7786
120,460.0825420000001,25.556915992861793,441.8002256491943,478.3648583508059,890.9839
121,462.422689,25.74836724315089,444.00341667514317,480.8419613248568,890.9839
122,464.72603499999997,25.787986484571633,446.2784207771835,483.17364922281644,903.18915
123,467.03432999999995,25.865613020964943,448.53118509828795,485.53747490171196,903.18915
124,469.3163600000001,25.977373377143692,450.73326655568184,487.89945344431834,915.3944
125,471.826236,26.03004578312797,453.2054629863068,490.44700901369316,915.3944
126,474.12245699999994,26.053871209700638,455.48464030287033,492.76027369712955,927.5997
127,476.3787409999999,26.06959970433866,457.7296728156104,495.02780918438935,927.5997
128,478.7792230000001,26.116699541889997,460.0964616215482,497.46198437845203,939.80493
129,481.174936,26.1691770424908,462.45463447908526,499.89523752091475,939.80493
130,483.72381399999995,26.148243698867855,465.0184872910109,502.429140708989,952.0102
131,486.0136120000001,26.158818584908865,467.3007204732518,504.7265035267484,952.0102
132,488.31109699999996,26.186392773837948,469.5784800867747,507.04371391322525,964.2154
133,490.570227,26.23421685676595,471.80339879878045,509.3370552012195,964.2154
134,492.71196799999996,26.26894097725287,473.92029965938633,511.5036363406136,976.4206
135,494.89702500000004,26.3060463643303,476.0788130644919,513.7152369355082,976.4206
136,497.224369,26.37867233879061,478.3542035721088,516.0945344278912,988.6259
137,499.36624599999993,26.42466636466229,480.46317842806803,518.2693135719319,988.6259
138,501.70377099999996,26.514624257852475,482.7363514279279,520.6711905720721,1000.83124
139,504.08052,26.524298680639152,485.10617976277615,523.0548602372238,1000.83124
140,506.597336,26.667709197746657,487.5204060589745,525.6742659410255,1013.0364
141,508.805796,26.7328472295099,489.6822691181113,527.9293228818887,1013.0364
142,511.03554700000007,26.754824247429582,491.89629870656995,530.1747952934302,1025.2418
143,513.38239,26.812564874334562,494.2018365503583,532.5629434496417,1025.2418
144,515.627952,26.85235030530674,496.4189377675554,534.8369662324448,1037.4469
145,517.7949249999999,26.91240530002567,498.54295001234505,537.0468999876548,1037.4469
146,520.663092,27.00670343668598,501.343660189065,539.982523810935,1049.6522
147,523.0986909999999,27.034683298227794,503.7592436018829,542.438138398117,1049.6522
148,525.281033,27.116256833350842,505.8832314101882,544.6788345898117,1061.8575
149,527.6773949999999,27.152552207055045,508.2536292639541,547.1011607360458,1061.8575
150,530.025288,27.25998219955633,510.52467147691004,549.52590452309,1074.0629
151,532.4885320000001,27.392310580701217,512.8932534556021,552.083810544398,1074.0629
152,534.80353,27.47868607994849,515.1464621457089,554.4605978542911,1086.268
153,537.296807,27.582534019105893,517.5654508052618,557.0281631947381,1086.268
154,540.0147669999999,27.682068378529852,520.2122082138665,559.8173257861333,1098.4733
155,542.3510870000001,27.780393139529192,522.4781909170579,562.2239830829424,1098.4733
156,544.821542,27.82584643783697,524.9161305862141,564.726953413786,1110.6787
157,547.350996,27.934945397338275,527.3675398921007,567.3344521078993,1110.6787
158,550.055593,28.028703215976876,530.0050665890489,570.1061194109512,1122.8838
159,552.396148,28.177301337395576,532.2393208966777,572.5529751033224,1122.8838
160,554.80246,28.23945937329342,534.6011677164365,575.0037522835635,1135.0892
161,557.2121520000001,28.34085317083755,536.9383269631408,577.4859770368594,1135.0892
162,559.676014,28.382617252435892,539.3723127389478,579.9797152610522,1147.2943
163,561.993282,28.40093277148198,541.6764786059118,582.3100853940882,1147.2943
164,564.3999919999999,28.443288337554456,544.0528892592155,584.7470947407843,1159.4995
165,566.6680089999999,28.494053799734125,546.2845908352604,587.0514271647394,1159.4995
166,568.976309,28.588734721072075,548.5251601843178,589.4274578156823,1171.7048
167,571.486913,28.74660864011308,550.9228279860591,592.0509980139408,1171.7048
168,573.7580519999999,28.914660116326537,553.0737502019912,594.4423537980086,1183.9102
169,576.116663,28.979099560360574,555.3862640006846,596.8470619993154,1183.9102
170,578.535009,29.061206968101164,557.745873899526,599.3241441004739,1196.1152
171,580.883316,29.140256409281502,560.0376323358646,601.7289996641355,1196.1152
172,583.0621490000001,29.24256506430175,562.1432781329553,603.9810198670449,1208.3207
173,585.544802,29.359519668937136,564.5422668488443,606.5473371511557,1208.3207
174,587.8341079999999,29.551738240594535,566.6940679661532,608.9741480338466,1220.5259
175,590.172429,29.685360165141805,568.9368015996394,611.4080564003606,1220.5259
176,592.6680049999999,29.88407507271213,571.2902255181895,614.0457844818103,1232.7312
177,595.194354,29.996640699182453,573.7360499199191,616.6526580800809,1232.7312
178,597.751444,30.153814204030706,576.1807047677903,619.3221832322097,1244.9365
179,600.190425,30.335507186763202,578.4897104378263,621.8911395621737,1244.9365
180,602.40729,30.448073047272164,580.6260506721346,624.1885293278654,1257.1416
181,604.831288,30.566807079568015,582.965111462158,626.6974645378419,1257.1416
182,607.1804460000001,30.705620209743074,585.214968530848,629.1459234691522,1269.3472
183,609.7064859999998,30.805038964136386,587.6698886383094,631.7430833616902,1269.3472
184,612.377952,30.954754637086705,590.2342544977326,634.5216495022675,1281.552
185,614.763417,31.01491967276933,592.576680023959,636.950153976041,1281.552
186,617.074344,31.07922350230035,594.8416068354237,639.3070811645763,1293.7576
187,619.593507,31.159075789801264,597.3036469501023,641.8833670498977,1293.7576
188,622.0410330000001,31.220909793702198,599.7069395683881,644.3751264316121,1305.9629
189,624.638036,31.29392134401404,602.2517132516568,647.0243587483433,1305.9629
190,627.3755100000001,31.36508547119128,604.9382795018232,649.8127404981769,1318.1682
191,629.835358,31.469630528798458,607.3233404728788,652.3473755271212,1318.1682
192,632.310091,31.5395844935001,609.7480314211294,654.8721505788707,1330.3735
193,634.662,31.661310547681587,612.0128628476342,657.3111371523659,1330.3735
194,637.122517,31.766762683009496,614.397943934378,659.8470900656221,1342.5785
195,639.475016,31.893380225128645,616.659866201206,662.290165798794,1342.5785
196,641.991762,32.048135476621134,619.0659069633156,664.9176170366844,1354.7838
197,644.491426,32.16263589131517,621.4836623009278,667.4991896990723,1354.7838
198,646.811691,32.299968988415955,623.7056851214984,669.9176968785016,1366.9889
199,649.5650459999999,32.501202954641606,626.3150860140429,672.815005985957,1366.9889
200,651.8704789999999,32.616600378213846,628.5379686701592,675.2029893298406,1379.1945
