t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,11.6531925,0.04070958145817786,11.624070619764716,11.682314380235283,12.205259
2,23.176263800000005,0.1399811957068203,23.0761272849451,23.27640031505491,24.410519
3,34.1877985,0.31307480972382934,33.96383827277861,34.41175872722139,36.615784
4,45.0063565,0.47734203135656444,44.66488658135902,45.347826418640985,48.821037
5,55.6398152,0.6648526392754349,55.164208273041496,56.11542212695851,61.0263
6,66.0176755,0.9659683089535076,65.3266633992413,66.7086876007587,73.23156
7,75.8565079,1.2947038183276134,74.93033258237276,76.78268321762724,85.43682
8,85.47808799999999,1.7002225432951124,84.26182206196683,86.69435393803315,97.642075
9,95.1888315,1.9047029140058802,93.82628911664345,96.55137388335656,109.84734
10,104.5764011,2.2131059471663828,102.99324047704978,106.15956172295022,122.052605
11,113.61435699999997,2.633424101705906,111.73051888249506,115.49819511750488,134.25786
12,122.1161051,3.0174089084733815,119.95758079918616,124.27462940081384,146.46312
13,129.892298,3.468862543337994,127.41082322376022,132.3737727762398,158.66837
14,137.56613,3.7966374460947563,134.85017918346927,140.2820808165307,170.87361
15,144.90536500000002,4.285647989791686,141.83959711394323,147.9711328860568,183.07889
16,151.58504399999998,4.7389359148891925,148.1950134663316,154.97507453366836,195.28415
17,157.607887,5.559342581359074,153.630972891768,161.584801108232,207.48941
18,164.171327,6.061132141737312,159.83545426440745,168.50719973559254,219.69464
19,170.00352000000004,6.51203149389224,165.34509329894576,174.66194670105432,231.89995
20,175.856069,7.055552166716255,170.80883103210323,180.90330696789675,244.10516
21,181.77830899999998,7.566009607381405,176.3659117767193,187.19070622328067,256.31042
22,187.81586900000002,8.197906055866339,181.9514402884373,193.68029771156273,268.5157
23,193.669847,8.852087547049187,187.33744504096146,200.00224895903855,280.72095
24,198.683885,9.257343775073627,192.06158019955654,205.30618980044346,292.92624
25,203.567614,9.702832739934134,196.62662559200984,210.50860240799014,305.13144
26,208.03726699999999,10.27557526264431,200.68656327304606,215.3879707269539,317.3367
27,212.84270099999998,10.787915239207297,205.12549133260686,220.5599106673931,321.45132
28,217.37108400000002,11.333718388458008,209.26343028048987,225.47873771951018,333.65662
29,221.92698600000003,11.688983605388826,213.56519085410724,230.2887811458928,335.59744
30,225.717265,12.160088493668544,217.01846171883977,234.41606828116022,347.80273
31,229.786909,12.471356752516682,220.8654378202633,238.7083801797367,349.99747
32,233.678606,12.867982998112627,224.47340549638704,242.88380650361296,362.20285
33,237.956881,13.049191874193635,228.6220514754593,247.29171052454072,363.70505
34,241.369439,13.297002586563504,231.85733637099202,250.88154162900798,375.91025
35,244.75138200000006,13.584777289139822,235.03341775014044,254.46934624985968,376.71176
