t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,2.1071474500000003,0.01283216545917582,2.0979678718202206,2.11632702817978,2.380283
2,4.32971886,0.08249686625488252,4.270704157003632,4.388733562996368,4.72479
3,6.560507339999999,0.19812196573694607,6.418779423585591,6.702235256414407,6.455953
4,8.79638435,0.30292798298642704,8.579682725358897,9.013085974641104,7.727269
5,10.978831150000001,0.4498251458235406,10.65704562545587,11.300616674544132,8.82974
6,13.2775891,0.5564472255993475,12.87953073435929,13.67564746564071,10.060256
7,15.4577819,0.6349685064210229,15.003552793857843,15.912011006142158,11.648862
8,17.602689899999998,0.7580930610382356,17.060382793417855,18.14499700658214,12.942964
9,19.708009699999998,0.8682107124123538,19.08692917103811,20.329090228961885,14.327898
10,21.801051899999997,1.0350477172340575,21.060623367467443,22.541480432532552,15.616877
11,23.983380699999998,1.105461367761599,23.19258127628796,24.774180123712036,16.889914
12,26.032863499999998,1.1872789645976445,25.183535293361373,26.882191706638622,18.48473
13,27.981469299999997,1.283532400842911,27.063285533019915,28.89965306698008,20.313816
14,30.1156183,1.3720390470355548,29.13412069244171,31.097115907558294,21.964703
15,32.0076867,1.4838181172469334,30.946227162623018,33.069146237376984,23.52691
16,34.031685700000004,1.5747239680414575,32.90519603446402,35.15817536553599,24.812561
17,36.078251,1.7022553862619374,34.860530853711765,37.29597114628824,26.116364
18,38.225552099999994,1.7801162377599855,36.95213365588787,39.49897054411212,27.26875
19,40.286079799999996,1.848632269839023,38.96364793917043,41.60851166082956,28.734533
20,42.3196049,1.9519090101911594,40.92329330973339,43.715916490266615,30.522034
21,44.3782063,2.0909707520268097,42.88241593235495,45.87399666764505,32.62931
22,46.4077124,2.196560058740999,44.8363879926003,47.9790368073997,34.66746
23,48.5149816,2.2979348332760385,46.871138047545436,50.15882515245456,36.49393
24,50.692265500000005,2.3438999051155105,49.01554051597164,52.36899048402837,38.107132
25,52.827134,2.3860540196236126,51.12025377904319,54.53401422095681,39.526905
26,54.9732071,2.412938521467524,53.24709486498556,56.699319335014444,40.946682
27,57.127095999999995,2.536527656570516,55.312573423686686,58.9416185763133,42.689472
28,59.292289900000014,2.5976078555667943,57.43407318151666,61.15050661848337,44.432274
29,61.438782700000004,2.6751465869061413,59.52509811457284,63.35246728542717,46.245342
30,63.57765440000001,2.711795916954265,61.63775246322372,65.5175563367763,48.05842
31,65.76227970000001,2.762230370435298,63.786299128627206,67.73826027137281,49.848766
32,67.9065914,2.8072043582723696,65.89843837583891,69.91474442416109,51.63912
33,70.02921099999999,2.8685453451214604,67.97717727727735,72.08124472272263,53.338707
34,72.24223500000002,2.934572467336598,70.14296831941941,74.34150168058063,55.038284
35,74.4784295,3.0173053283282494,72.3199792959583,76.6368797040417,56.680054
36,76.680974,3.115880382884321,74.45200744992519,78.90994055007482,58.321827
37,78.8143215,3.1923820449418234,76.53062895765412,81.0980140423459,59.88063
38,80.9342671,3.2893215269724108,78.58122822972231,83.28730597027769,61.439407
39,83.08802709999999,3.392445284116801,80.66121793787943,85.51483626212055,62.90692
40,85.24257539999999,3.500147616642225,82.73872063051822,87.74643016948177,64.37446
41,87.40822440000001,3.597432191465221,84.83477643807419,89.98167236192583,65.94056
42,89.4907675,3.6700804433559524,86.86535010937745,92.11618489062256,67.50666
43,91.62972679999999,3.790471692883056,88.91818669760977,94.3412669023902,69.011284
44,93.74223850000001,3.8995262925379692,90.9526854366188,96.53179156338123,70.51592
45,95.89138270000001,4.036742695711126,93.00367093499642,98.7790944650036,72.12263
46,98.067881,4.1374452051934165,95.10813099938967,101.02763100061033,73.729324
47,100.2062514,4.255948820171678,97.16172902003248,103.25077377996752,75.10501
48,102.3771429,4.3814987289035265,99.24280752577717,105.51147827422282,76.48068
49,104.49758339999998,4.489827094043704,101.28575458166162,107.70941221833834,78.09932
50,106.61190289999999,4.621601465886628,103.30580837473384,109.91799742526614,79.71797
51,108.7608475,4.738513413469984,105.37111920563962,112.15057579436038,81.18896
52,110.90932950000001,4.845287932972984,107.44321931573145,114.37543968426857,82.65994
53,113.0095021,4.9776826818296005,109.44868241782262,116.57032178217739,84.15872
