t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean,da_ref_mean,planner_first-best_mean
1,0.014078247999999998,0.044519329144710164,-0.0177689615528495,0.04592545755284949,0.0,23.332132,23.684992
2,0.2824966247,0.1993041304846469,0.13992303856932936,0.4250702108306706,0.0,46.664265,47.369984
3,1.53136888,0.5638571065056618,1.1280098048805383,1.9347279551194618,0.0,69.99638,71.05496
4,3.23047007,0.9103363937395292,2.5792546439819977,3.8816854960180023,0.0,93.32853,94.73997
5,5.47880917,1.32362755676723,4.531943056333484,6.425675283666516,0.0,116.66065,118.42496
6,8.08334661,1.7705108618951337,6.816799437847242,9.349893782152757,0.0,139.99277,142.10992
7,11.834507700000001,2.480877958881763,10.059794519243527,13.609220880756476,0.0,163.32492,165.79494
8,15.903854599999999,3.154949324348507,13.646939812839811,18.160769387160187,0.0,186.65704,189.47992
9,20.0624751,3.7081034885815636,17.409857661389264,22.715092538610737,0.0,209.98918,213.16492
10,24.812209800000005,4.43718132818847,21.638041493836297,27.986378106163713,0.0,233.3213,236.84991
11,30.0488719,5.166384130150999,26.353063333599238,33.744680466400766,0.0,256.65344,260.53488
12,36.285274799999996,5.9134069464098244,32.05507830307083,40.515471296929164,0.0,279.98553,284.21985
13,43.903038800000004,6.71540408708492,39.09912810992018,48.70694949007983,0.0,303.31772,307.9049
14,51.9540474,7.586657046742746,46.52687988838157,57.38121491161843,0.0,326.64987,331.58984
15,60.514809400000004,8.647584945285825,54.32869978942184,66.70091901057818,0.0,349.98196,355.2748
16,70.5215688,9.563004492007925,63.68060749481364,77.36253010518635,0.0,373.3141,378.95987
17,81.5623386,10.812571842334204,73.82749066128228,89.29718653871772,0.0,396.6463,402.64478
18,91.5598252,11.93579404783333,83.02147249963888,100.09817790036114,0.0,419.97836,426.32986
19,103.294596,12.968305132236285,94.01762936491996,112.57156263508004,0.0,443.31055,450.01483
20,115.423705,14.189179175512196,105.27337768674221,125.57403231325779,0.0,466.6426,473.69977
21,127.22636849999996,15.310910329419185,116.27360305915236,138.17913394084755,0.0,489.9748,497.3848
22,138.3658985,16.60715028873742,126.48585885245896,150.245938147541,0.0,513.3069,521.0698
23,150.1599946,17.819221866171073,137.41289117901104,162.90709802098897,0.0,536.6389,544.7547
24,163.516182,18.955848948084487,149.955984546451,177.07637945354898,0.0,559.97107,568.43964
25,177.12181499999997,20.05457950595505,162.77563305407728,191.46799694592266,0.0,583.30334,592.12476
26,191.4316,21.117297568925707,176.32519534863147,206.53800465136854,0.0,606.63544,615.80975
27,204.833353,22.264629779302943,188.90619632849553,220.76050967150445,16.924416,629.9675,639.49475
28,219.047388,23.276229864510462,202.39657622146183,235.6981997785382,16.924416,653.2998,663.1797
29,233.266604,24.108900203964883,216.02013574373615,250.51307225626385,36.83606,676.6317,686.8647
30,248.999162,24.990754052640614,231.12185350302917,266.87647049697085,36.83606,699.9639,710.5497
31,264.155543,25.49091661062734,245.92043976306542,282.39064623693463,58.091057,723.2961,734.2347
32,279.502102,25.91628780219104,260.9627065435793,298.04149745642064,58.091057,746.6282,757.91974
33,294.58241699999996,26.32976502825274,275.7472377544545,313.41759624554544,80.6104,769.96027,781.6046
34,310.849464,26.7205246180344,291.73475218332993,329.9641758166701,80.6104,793.29266,805.2896
35,327.242739,27.098453829363866,307.85767291203734,346.6278050879626,103.05652,816.6245,828.9747
36,343.6627300000001,27.480585304823638,324.00430352207854,363.3211564779217,103.05652,839.9567,852.65967
37,359.21935300000007,28.2135417521638,339.036601065698,379.40210493430214,126.3557,863.2887,876.3448
38,375.170832,29.062989176074787,354.38042198474426,395.9612420152558,126.3557,886.62103,900.02966
39,392.011152,29.35507536480183,371.01179611249967,413.0105078875003,150.12172,909.9532,923.71466
40,409.548336,30.052382477424022,388.05015665390295,431.04651534609707,150.12172,933.28516,947.3996
41,427.082102,30.759522641877126,405.0780650537722,449.08613894622783,172.78183,956.6174,971.08453
42,443.58198000000004,31.075419170198387,421.3519642906654,465.81199570933467,172.78183,979.9495,994.7696
43,460.9873759999999,31.464229822078284,438.4792219057281,483.49553009427177,195.7511,1003.2816,1018.4546
44,477.45705,31.910003888893527,454.63000834852926,500.2840916514707,195.7511,1026.6136,1042.1395
45,494.909558,32.41124572489096,471.72394953958707,518.0951664604129,219.26181,1049.9458,1065.8246
46,511.6795000000001,33.402581905688066,487.78473235651535,535.5742676434847,219.26181,1073.2778,1089.5094
47,528.67844,33.92736374198691,504.408266045791,552.9486139542091,242.50325,1096.61,1113.1946
48,545.666199,34.20140374623612,521.199988636239,570.132409363761,242.50325,1119.9421,1136.8794
49,562.5162379999999,35.21186185705065,537.3271894484737,587.7052865515261,265.38544,1143.2743,1160.5645
50,579.834908,35.82671201296529,554.2060221433031,605.463793856697,265.38544,1166.6064,1184.2494
51,598.4460160000001,36.42550585807155,572.3887788309537,624.5032531690465,289.11267,1189.9386,1207.9344
52,615.9420499999999,37.12664662509814,589.3832469412034,642.5008530587963,289.11267,1213.2706,1231.6195
53,633.486397,37.646985423870724,606.5553659880571,660.4174280119429,312.45993,1236.6029,1255.3043
54,650.2680170000001,37.91358503560053,623.1462721146772,677.389761885323,312.45993,1259.9349,1278.9894
55,667.5201559999999,38.128390962187574,640.2447482116496,694.7955637883503,336.1479,1283.267,1302.6744
56,684.922906,38.60891117106463,657.303754761771,712.5420572382291,336.1479,1306.5992,1326.3595
57,701.777951,39.47673716940014,673.5379944406808,730.0179075593193,360.01154,1329.931,1350.0444
58,719.1604009999999,40.01719202482727,690.5338263274855,747.7869756725142,360.01154,1353.2634,1373.7294
59,737.334618,40.490906122277984,708.3691686764186,766.3000673235814,383.4797,1376.5953,1397.4142
60,754.621546,40.74212097139689,725.476388399219,783.7667036007809,383.4797,1399.9277,1421.0994
61,772.6279959999999,41.10751522766994,743.221451094592,802.0345409054079,407.12564,1423.2599,1444.7843
62,789.948933,41.24844607679101,760.441572238409,819.456293761591,407.12564,1446.5919,1468.4694
63,807.68067,41.23883132558492,778.1801872170834,837.1811527829166,429.43753,1469.924,1492.1542
64,826.252588,41.24967470405443,796.7443483314112,855.7608276685887,429.43753,1493.2562,1515.8391
65,844.025353,41.540972861434085,814.3087311828332,873.7419748171668,452.87476,1516.5883,1539.5242
66,862.766848,41.875544977242264,832.8108877092445,892.7228082907554,452.87476,1539.9202,1563.209
67,880.7978019999998,42.25207603250356,850.5724876185508,911.0231163814489,476.27243,1563.2524,1586.8942
68,898.7973099999999,42.589148773796296,868.3308683052527,929.2637516947472,476.27243,1586.5846,1610.5792
69,917.3993849999999,42.84482478093351,886.7500437078561,948.0487262921438,499.40744,1609.9167,1634.2642
70,935.130957,43.13626970692143,904.2731285673406,965.9887854326594,499.40744,1633.2489,1657.9493
71,953.4586399999998,43.377823333338334,922.4280145125208,984.4892654874789,522.2997,1656.5809,1681.6342
72,971.992253,43.48290559457771,940.8864561912484,1003.0980498087516,522.2997,1679.9132,1705.3192
73,989.810497,43.45365202608663,958.7256269334928,1020.8953670665073,545.1923,1703.2452,1729.004
74,1007.1398700000002,43.52912362234457,976.0010108059053,1038.2787291940951,545.1923,1726.5773,1752.689
75,1025.4002400000002,43.46348573374105,994.308335322811,1056.4921446771893,569.4596,1749.9094,1776.3743
76,1043.9275499999999,43.660314461412696,1012.6948425331774,1075.1602574668223,569.4596,1773.2416,1800.0588
77,1061.894356,44.076324813706485,1030.364052654709,1093.424659345291,591.40515,1796.5739,1823.7441
78,1080.33806,44.14652031182828,1048.7575418203594,1111.9185781796407,591.40515,1819.9061,1847.4291
79,1097.8800600000002,44.32616433848824,1066.171032225272,1129.5890877747283,614.5637,1843.238,1871.1139
80,1115.4329899999998,44.7948087251054,1083.3887142268607,1147.477265773139,614.5637,1866.5701,1894.799
81,1132.8558800000003,45.02992578856865,1100.6434116118012,1165.0683483881994,637.7472,1889.9027,1918.4841
82,1150.4770299999998,45.15696314083061,1118.173684564544,1182.7803754354557,637.7472,1913.2343,1942.1687
83,1167.71221,45.43335653519708,1135.2111446411193,1200.2132753588805,662.31805,1936.5668,1965.854
84,1186.5646700000002,45.551368007876555,1153.9791843191545,1219.150155680846,662.31805,1959.8989,1989.5391
85,1205.2876700000002,45.77073504282086,1172.5452585957648,1238.0300814042355,685.2533,1983.2311,2013.2239
