t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,11.664861300000002,0.0038095958972051017,11.662136079265979,11.667586520734025,12.205259
2,23.2055047,0.06154523808648559,23.16147788890522,23.249531511094776,24.410519
3,34.277223,0.2755650397069025,34.080095645801585,34.474350354198414,36.615784
4,45.09170350000001,0.4438272944999749,44.77420857982118,45.40919842017884,48.821037
5,55.5420338,0.6614107258640088,55.06888906957011,56.015178530429885,61.0263
6,65.89176440000001,0.807799861710972,65.31389919028292,66.4696296097171,73.23157
7,75.63391010000001,1.190362406784446,74.7823761316989,76.48544406830112,85.43682
8,85.2751097,1.461894272490933,84.22933353637465,86.32088586362535,97.642075
9,94.7378676,1.8330747843154522,93.42656489387926,96.04917030612074,109.84733
10,103.93270539999999,2.2548813196666453,102.31966047583221,105.54575032416777,122.052605
11,112.99021559999998,2.56317037445128,111.15663397145684,114.82379722854313,134.25786
12,121.58417620000003,2.9278976989822025,119.4896843610575,123.67866803894256,146.46312
13,129.52237900000003,3.2917859611274523,127.16757717973023,131.87718082026984,158.66837
14,137.12966,3.83453836895366,134.38659649655952,139.87272350344048,170.87361
15,144.561784,4.391579535611811,141.42023725108064,147.70333074891934,183.07889
16,151.20748199999997,4.8420580529077615,147.74368233274154,154.6712816672584,195.28415
17,157.476025,5.267538845185561,153.70785470962775,161.24419529037223,207.48941
18,164.24722100000002,5.896008629159314,160.02947050946827,168.46497149053178,219.69464
19,170.01235300000002,6.475266922532663,165.38022608896287,174.64447991103717,231.89995
20,175.362851,7.160219652945866,170.2407384229983,180.4849635770017,244.10516
21,180.97008300000002,7.774465052079217,175.40856573476756,186.53160026523247,256.31042
22,187.125111,8.443456912974359,181.08502578703803,193.16519621296197,268.5157
23,192.80916499999998,8.991118929111536,186.37730598165646,199.2410240183435,280.72098
24,197.77107500000002,9.73193300796604,190.80926951430766,204.7328804856924,292.92624
25,202.613853,10.38296740420264,195.18632556293534,210.04138043706467,305.13144
26,207.166542,10.878230303943742,199.38472482733448,214.9483591726655,317.3367
27,212.29148500000002,11.523671840687324,204.04794676662468,220.53502323337537,320.7082
28,216.881203,11.988064084148261,208.30545856818566,225.45694743181434,332.91348
29,221.43819200000002,12.463879628401605,212.52206963263583,230.3543143673642,335.4715
30,225.24749400000002,12.86962838103917,216.04111646034758,234.45387153965245,347.67676
31,229.35357800000003,13.07401537275608,220.00099081433234,238.70616518566771,348.63745
32,233.447489,13.103333314177439,224.0739290224677,242.82104897753229,360.84274
33,237.421038,13.333326499032253,227.88295080935563,246.9591251906444,361.23172
34,241.07356099999998,13.486200240293744,231.4261145228026,250.72100747719736,373.4369
35,244.630453,13.578745942818989,234.91680331538328,254.3441026846167,374.59976
36,248.06800800000002,13.783850547821698,238.20763531974825,257.9283806802518,386.80502
37,252.03351499999994,14.15992992129101,241.90411134274376,262.1629186572561,387.18512
38,255.43124199999997,14.669585120698466,244.93725297618383,265.92523102381614,399.3904
39,258.774357,14.81213342432559,248.1783950627498,269.3703189372502,399.1955
40,261.70793599999996,15.269960745807941,250.78446412658528,272.6314078734146,411.4008
41,264.282268,15.567700123881705,253.14580620630085,275.41872979369913,412.11398
42,267.751237,15.620533211725627,256.5769806920479,278.9254933079521,424.3192
43,270.859126,15.786278364541916,259.56630275234966,282.15194924765035,424.8842
44,274.125089,15.942509866609564,262.7205044684154,285.5296735315846,437.08936
45,277.07897999999994,16.091063567859987,265.56812655231835,288.58983344768154,437.16724
46,280.458508,16.38751851739258,268.7355834568611,292.1814325431389,449.37247
47,283.686697,16.71310236785636,271.73086380095924,295.6425301990407,449.9363
48,286.970594,16.867847900191776,274.90406251573506,299.03712548426495,462.14157
49,290.47606899999994,17.414042611223888,278.0188133571935,302.9333246428064,463.31784
50,293.577591,17.770846783977685,280.865093028135,306.290088971865,475.52307
51,295.854522,18.09135494684489,282.91274630040795,308.796297699592,475.76862
52,298.896922,18.242108142260562,285.84730396097024,311.9465400390298,487.9738
53,301.843955,18.50491863080027,288.6063336630318,315.08157633696817,488.5382
54,305.26845499999996,18.595693740476133,291.9658970614349,318.57101293856505,500.7434
55,308.32804699999997,18.630252116703474,295.0007674883415,321.6553265116584,500.7138
56,311.384831,18.860697158302774,297.8927010363868,324.8769609636132,512.9191
57,314.605962,19.183932603939276,300.8826033280962,328.32932067190376,513.3683
58,317.787804,19.53296913735805,303.81475963347907,331.7608483665209,525.5735
59,320.37311000000005,19.70464043305761,306.2772593865435,334.4689606134566,526.0616
60,323.321835,19.81468755936266,309.14726141475893,337.4964085852411,538.2669
61,326.023906,20.026638235265665,311.69771203502654,340.3500999649735,538.8953
62,329.11908800000003,20.000511836613235,314.81158373473073,343.42659226526933,551.1007
63,332.06166,20.021667054035905,317.7390222038501,346.38429779614995,552.4902
64,334.41068,19.93829836306387,320.14768057267867,348.67367942732136,564.69543
65,337.240995,20.10959757537968,322.85545549816123,351.62653450183876,564.9957
66,339.357254,20.290775166996557,324.84210785679096,353.87240014320906,577.201
67,341.7628679999999,20.61035407496642,327.01910887797203,356.5066271220278,577.8351
68,344.283321,20.800682119229997,329.4034093971083,359.1632326028917,590.0403
69,346.69199000000003,20.922232945137047,331.7251261743693,361.6588538256308,590.2655
70,349.41028900000003,20.955282211765685,334.4197831532492,364.40079484675084,602.4707
71,352.208363,20.997121861792312,337.1879268706593,367.22879912934076,603.03424
72,354.824352,21.14423166807745,339.69867985479715,369.9500241452028,615.2395
73,357.689945,21.17984212598766,342.53879866780636,372.8410913321937,616.0405
74,360.61709199999996,21.227228846149362,345.4320472502873,375.8021367497126,628.24567
75,363.373128,21.417960316847175,348.0516421755377,378.6946138244623,628.7277
76,365.71779399999997,21.477249840482735,350.3538950053533,381.08169299464663,640.9329
77,368.327501,21.67518216835375,352.8220097476959,383.83299225230405,642.22614
78,370.51115799999997,21.689866219360386,354.99516241040067,386.02715358959927,654.43134
79,373.47300400000006,21.659034846843007,357.97906384565164,388.9669441543485,655.11847
80,376.30256599999996,21.873122968944333,360.65547642902004,391.94965557097987,667.32385
81,379.199868,22.03881381498096,363.43425033805164,394.9654856619483,667.8512
82,382.16478,22.132299955126417,366.33228638208607,397.99727361791395,680.0564
83,385.52871300000004,22.410902390941597,369.4969192056055,401.5605067943946,679.6997
84,387.75801,22.44388831781061,371.70261949501986,403.81340050498017,691.9049
85,389.892857,22.640797416592445,373.6966062113578,406.0891077886422,692.9475
86,392.93575699999997,22.55616751402944,376.80004679660783,409.0714672033921,705.15283
87,394.99125399999997,22.469320351265235,378.9176705142552,411.06483748574476,706.0885
88,397.286365,22.462351410655142,381.2177667940479,413.35496320595206,718.2939
89,399.575878,22.56598203814307,383.4331469090044,415.7186090909956,718.43317
90,401.92911599999996,22.553522459396802,385.795297954706,418.06293404529396,730.63837
91,404.84412800000007,22.487917554322262,388.7572408766167,420.9310151233834,731.6863
92,407.888204,22.601544826037983,391.72003282308816,424.0563751769118,743.89154
93,410.27937299999996,22.65554618740756,394.0725715763006,426.4861744236993,744.64197
94,412.604083,22.406709070504387,396.57528892633917,428.63287707366084,756.8472
95,415.19726899999995,22.51448201608489,399.0913788054413,431.3031591945586,756.84937
96,417.61100100000004,22.446337223020233,401.55385865376616,433.66814334623393,769.05475
97,420.089667,22.55199537608445,403.9569413642995,436.22239263570054,769.3785
98,422.46344,22.640153896660877,406.267649557785,438.659230442215,781.58374
99,424.76128500000004,22.95241730089459,408.34211477508455,441.18045522491553,782.48425
100,427.425868,22.8136276134691,411.10598193646183,443.74575406353813,794.6895
101,430.443997,22.934602834919826,414.03757047634576,446.8504235236543,795.25214
102,433.48746300000005,22.932493578154826,417.0825453477391,449.892380652261,807.4574
103,435.915155,23.047620126614298,419.427880776238,452.40242922376206,808.59436
104,438.295603,23.16343240111641,421.72548166587677,454.8657243341233,820.79956
105,440.67615700000005,23.08912811844525,424.1591897476288,457.1931242523713,821.256
106,443.390638,23.236616690188118,426.76816377928077,460.0131122207193,833.4611
107,446.60872100000006,23.246400508650535,429.9792478571769,463.2381941428232,834.3357
108,449.46725,23.348649729154218,432.7646321711594,466.16986782884055,846.5411
109,452.46278200000006,23.38908147257643,435.731241044282,469.1943229557181,847.617
110,454.8713820000001,23.51488323971192,438.04984788137835,471.69291611862184,859.8223
