t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,85.53552377777777,0.21271690262751747,85.37201509208214,85.6990324634734,84.74199
2,170.60711777777777,0.4874012485565101,170.2324680128861,170.98176754266944,169.48398
3,255.07118222222223,1.0851213636476071,254.23708410496565,255.90528033947882,254.22595
4,338.9543644444444,2.0416230244716456,337.3850340654579,340.52369482343096,338.96796
5,422.47834888888883,3.110786179253747,420.0871869578571,424.86951081992055,423.7099
6,505.5021944444444,4.298013248665341,502.1984490029162,508.8059398859726,508.45193
7,587.9993044444445,5.380551349265029,583.8634465574168,592.1351623314723,593.194
8,670.3304377777778,6.273224397408743,665.5084106439484,675.1524649116071,677.9359
9,752.0398822222222,7.4969519093241885,746.2772148541128,757.8025495903316,762.6779
10,832.9610977777777,8.941872271505535,826.0877662995913,839.8344292559641,847.4198
11,913.3921788888888,10.304814556010273,905.4711972293316,921.313160548446,932.16187
12,993.4230233333334,11.837438537718995,984.3239625939317,1002.5220840727351,1016.90393
13,1072.7680777777778,13.4764107186203,1062.4091914961616,1083.126964059394,1101.6458
14,1151.0677,15.188788868520735,1139.3925633534827,1162.7428366465174,1186.3878
15,1228.7871666666667,17.146063370639943,1215.6075356549438,1241.9667976783896,1271.1299
16,1305.8515444444445,19.155907372212276,1291.1270105731412,1320.5760783157477,1355.8716
17,1382.0072222222223,21.284797822259065,1365.6462782905176,1398.368166153927,1440.6136
18,1457.6610777777778,23.378830263925614,1439.6905180228282,1475.6316375327274,1525.3557
19,1532.812988888889,25.799571437208282,1512.9816827486566,1552.6442950291216,1610.098
20,1607.6316666666667,28.22157536101587,1585.9386435051738,1629.3246898281595,1694.8394
21,1681.5945555555556,30.494401064298312,1658.1544839039402,1705.034627207171,1779.5817
22,1755.780088888889,32.822733845097524,1730.5503022303888,1781.0098755473891,1864.3239
23,1829.0302777777777,35.464525371728065,1801.769830391025,1856.2907251645304,1949.0657
24,1901.2136333333333,38.316819275352174,1871.7607187677224,1930.6665478989441,2033.8075
25,1972.6968222222224,41.411761350725534,1940.8649245819354,2004.5287198625094,2118.5496
