t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,19.62289488888889,0.14000708397385178,19.51527591735503,19.73051386042275,20.80426
2,39.40931644444444,0.2983692771663624,39.179969515456605,39.63866337343228,39.359543
3,59.27388933333334,0.5698155179455003,58.83589035310473,59.71188831356194,57.085762
4,79.04800711111109,0.9564351911820065,78.31282594247092,79.78318827975126,73.04478
5,99.00836888888888,1.4119559981047094,97.92304343210363,100.09369434567414,88.638466
6,118.87685333333333,1.8910047358415043,117.4232984198196,120.33040824684706,103.047165
7,138.70737666666665,2.502640206037423,136.78367711198314,140.63107622135016,117.25754
8,158.6782022222222,3.0632045678005966,156.32361475544738,161.03278968899704,131.6371
9,178.51684555555553,3.594982957675564,175.75349703342607,181.280194077685,145.2863
10,198.26951666666668,4.234607202285705,195.0145094268546,201.52452390647875,158.69669
11,218.18740333333335,4.734266339648095,214.54832408120456,221.82648258546214,172.04947
12,238.37920222222218,5.116220714183903,234.44652684771376,242.3118775967306,185.12596
13,258.30260666666663,5.359255405224225,254.18311829131252,262.42209504202077,197.79134
14,278.28579111111117,5.579412264903993,273.99707519281867,282.57450702940366,210.54318
15,298.3024922222222,5.865056244480487,293.7942109045632,302.8107735398812,222.74739
16,318.5711322222222,6.268599171359534,313.752660351858,323.3896040925864,234.65408
17,339.06398999999993,6.470690351635581,334.0901770971675,344.03780290283237,246.81818
18,359.49450444444443,6.79777365668184,354.26927305694767,364.7197358319412,258.75165
19,380.0743133333333,7.223804787457922,374.52160542940476,385.62702123726183,270.10315
20,400.50271,7.633267243146923,394.6352613907282,406.37015860927175,281.17584
21,421.15440555555557,8.29820234808135,414.7758425790767,427.53296853203443,292.41632
22,441.67246888888883,8.745787006256846,434.9498618882078,448.39507588956985,303.83188
23,462.3988866666666,9.321063129741425,455.23408329277237,469.56369004056086,314.60312
24,483.31240777777776,9.860167371887988,475.7332121999848,490.89160335557074,325.43207
25,504.0558411111111,10.384494123662725,496.07361231405457,512.0380699081676,336.44006
26,524.8070711111111,11.003115764114767,516.3493276270515,533.2648145951707,347.08957
27,545.9371911111111,11.626406514432404,537.0003439444959,554.8740382777264,357.4853
28,567.0118133333333,12.14836032226984,557.6737569536318,576.3498697130348,368.16318
29,588.0998888888889,12.606461409538614,578.409704841993,597.7900729357849,378.55167
