t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean,da_ref_mean,planner_first-best_mean
1,0.6030460122222222,0.4030373608389639,0.29324407197674746,0.9128479524676969,0.0,171.7465,176.53096
2,2.1949381955555554,1.071419432874993,1.37137231463961,3.0185040764715008,0.0,343.49304,353.06192
3,5.005934811111111,2.368582772846431,3.1852809215253712,6.82658870069685,0.0,515.23956,529.5928
4,9.04207081111111,4.359846842452953,5.690795861926665,12.393345760295555,0.0,686.9861,706.12384
5,13.782468977777775,6.402964913824912,8.860714454828631,18.70422350072692,0.0,858.7326,882.65466
6,19.45140561111111,8.858048398990402,12.642506865140941,26.260304357081278,0.0,1030.4791,1059.1857
7,26.084090999999997,11.266870277926628,17.42360784943076,34.744574150569235,0.0,1202.2257,1235.7169
8,33.16627511111111,13.368497893725996,22.890337969644335,43.44221225257789,0.0,1373.9722,1412.2477
9,41.53942988888889,16.096293685787813,29.16672328859309,53.91213648918469,0.0,1545.7188,1588.7784
10,51.145613888888896,18.776364703112105,36.71282233906288,65.57840543871491,0.0,1717.4652,1765.3092
11,62.01965655555556,21.530114575895254,45.47014547441091,78.5691676367002,0.0,1889.2119,1941.8403
12,73.62096077777778,24.61764388812445,54.698164576111594,92.54375697944397,0.0,2060.9583,2118.3713
13,86.80933066666665,28.108073968805012,65.20355239843701,108.4151089348963,0.0,2232.7046,2294.9023
14,101.5682751111111,31.51201112072404,77.34599912678134,125.79055109544088,0.0,2404.4512,2471.4336
15,118.15402444444443,35.381736743450396,90.95721403074384,145.35083485814502,0.0,2576.198,2647.9644
16,135.8475372222222,39.27534213087289,105.65783676710511,166.0372376773393,0.0,2747.9443,2824.4954
17,155.63339000000005,43.53787116724789,122.16721968344676,189.09956031655332,0.0,2919.6912,3001.026
18,175.65634733333334,47.85210652527513,138.87396215816176,212.43873250850493,0.0,3091.4375,3177.5566
19,196.96559888888888,52.91528695727575,156.29130870922455,237.6398890685532,0.0,3263.1838,3354.0876
20,218.87987000000004,57.897838059826334,174.3756520048865,263.3840879951136,0.0,3434.9304,3530.619
21,242.58839444444448,62.79880078894862,194.3169630093851,290.8598258795039,0.0,3606.6777,3707.1494
22,266.74547888888884,67.95984079287496,214.50692092349337,318.9840368542843,0.0,3778.4238,3883.6807
23,292.26963,73.41187026422838,235.8402711992059,348.69898880079415,0.0,3950.1697,4060.2117
24,318.50279666666665,79.07125063224592,257.72325302209197,379.28234031124134,0.0,4121.9165,4236.742
25,346.90189333333336,85.10020178631864,281.4880875913468,412.3156990753199,0.0,4293.6636,4413.2734
26,376.5619177777778,91.41457675033392,306.29445377637495,446.82938177918066,0.0,4465.4087,4589.805
27,408.0139022222222,97.93184033670315,332.7368259606917,483.2909784837527,0.0,4637.156,4766.3354
28,440.5898266666666,104.7511975683066,360.07092841329876,521.1087249200344,0.0,4808.903,4942.867
29,474.1930266666667,111.85237873333438,388.2156773695028,560.1703759638306,0.0,4980.6484,5119.398
30,507.92822222222225,118.693909928724,416.69200651582617,599.1644379286183,0.0,5152.396,5295.9287
31,543.4316388888888,126.35098917446675,446.3096710477364,640.5536067300411,0.0,5324.1426,5472.4595
32,579.8916155555556,134.4770591731071,476.5233973744622,683.2598337366491,0.0,5495.8887,5648.9907
33,616.3749866666666,142.599366038401,506.76341074598486,725.9865625873483,0.0,5667.636,5825.5215
34,655.1128177777778,151.54013328022953,538.6287597799112,771.5968757756443,0.0,5839.3823,6002.0527
35,694.1481222222222,160.20087459615894,571.0068291282,817.2894153162445,0.0,6011.1284,6178.5825
36,733.67483,169.26323609299365,603.567589210506,863.7820707894941,0.0,6182.875,6355.1143
37,774.8043811111111,178.69754579521893,637.4452879262408,912.1634742959814,0.0,6354.6206,6531.6455
38,816.2742366666668,188.2913645911263,671.5406815432093,961.0077917901242,0.0,6526.3667,6708.176
39,859.007788888889,197.77466298540014,706.984725327908,1011.0308524498699,0.0,6698.115,6884.7065
40,902.9397433333334,207.80559311516842,743.2062243192892,1062.6732623473777,0.0,6869.861,7061.239
41,949.0551022222221,218.74705551643,780.9112306940144,1117.1989737504298,0.0,7041.6074,7237.77
42,995.8823600000001,229.95890301086146,819.1202995766466,1172.6444204233535,0.0,7213.3535,7414.2993
43,1044.249728888889,240.91803329651145,859.0637352132189,1229.435722564559,0.0,7385.1,7590.831
44,1091.6910944444444,252.55562483555778,897.559656031155,1285.8225328577337,0.0,7556.848,7767.362
45,1141.7610333333332,264.34296251734696,938.5690451076259,1344.9530215590405,0.0,7728.593,7943.8936
46,1194.1104277777779,276.1676831420712,981.8291546659879,1406.3917008895678,0.0,7900.34,8120.424
47,1246.5264822222223,288.2243649874917,1024.9776230463053,1468.0753413981392,0.0,8072.088,8296.955
48,1299.4813055555553,299.88313737431787,1068.9707206011633,1529.9918905099473,0.0,8243.833,8473.486
49,1354.5347444444444,312.76615630095796,1114.1213945171373,1594.9480943717515,0.0,8415.58,8650.017
50,1410.6223666666665,325.56825262605076,1160.3684543843774,1660.8762789489556,0.0,8587.326,8826.548
51,1467.9302333333333,338.94679387870747,1207.3926639005022,1728.4678027661644,0.0,8759.073,9003.079
52,1526.6199777777779,352.1834123941379,1255.907842667379,1797.3321128881767,0.0,8930.818,9179.61
53,1584.6160444444445,365.83707097511007,1303.4087782845831,1865.8233106043058,0.0,9102.565,9356.14
54,1645.4331333333337,379.3825267425873,1353.81390816913,1937.0523584975374,0.0,9274.313,9532.671
55,1706.6753777777778,393.88313195290164,1403.9100007542581,2009.4407548012975,0.0,9446.06,9709.201
56,1768.542011111111,407.7791933033595,1455.095175775189,2081.9888464470328,0.0,9617.805,9885.735
57,1831.8257555555558,421.6476233431185,1507.7187012128093,2155.9328098983024,0.0,9789.551,10062.266
58,1897.022077777778,435.53927142189997,1562.2369574635409,2231.807198092015,0.0,9961.298,10238.798
59,1961.1534999999994,449.5087314648571,1615.6305021438864,2306.6764978561127,0.0,10133.046,10415.327
60,2027.4984333333337,463.31487074764556,1671.3630973847821,2383.633769281885,0.0,10304.792,10591.857
61,2095.083888888889,477.56077373043695,1727.998182544326,2462.1695952334517,0.0,10476.538,10768.39
62,2163.031822222222,491.908857782277,1784.9172021590593,2541.146442285385,0.0,10648.284,10944.919
63,2232.9019222222228,506.06428544731784,1843.9064772486706,2621.8973671957747,0.0,10820.031,11121.45
64,2303.670355555556,520.6296943976498,1903.4789461585353,2703.8617649525763,0.0,10991.776,11297.983
65,2374.5222222222224,535.6462937807089,1962.7880327338557,2786.256411710589,0.0,11163.521,11474.512
66,2447.6948111111114,550.948371810802,2024.1984032178743,2871.1912190043486,0.0,11335.27,11651.044
67,2523.381366666667,567.1606400071213,2087.423106272846,2959.339627060488,0.0,11507.017,11827.573
68,2597.6766333333335,582.1751975548297,2150.1771623417535,3045.1761043249135,0.0,11678.764,12004.105
69,2674.3624999999997,597.6741311592903,2214.94949401404,3133.7755059859596,0.0,11850.509,12180.635
70,2751.5122333333334,613.5238087018342,2279.916086695787,3223.10837997088,0.0,12022.257,12357.166
71,2829.425166666667,629.9525889549109,2345.2007416291353,3313.6495917041984,0.0,12194.002,12533.697
72,2909.342877777778,646.4959344325198,2412.4021117130874,3406.283643842469,0.0,12365.748,12710.2295
73,2990.042511111111,663.0888134357502,2480.347329180956,3499.7376930412656,0.0,12537.496,12886.762
74,3070.6684999999998,679.8428063207332,2548.0950591118612,3593.2419408881383,0.0,12709.241,13063.293
75,3154.3703555555558,696.5437613548613,2618.9594242105645,3689.781286900547,0.0,12880.99,13239.821
76,3238.8739333333338,713.1193252964822,2690.721895657436,3787.0259710092314,0.0,13052.733,13416.353
77,3323.6446888888886,730.6357995639952,2762.0282971812967,3885.2610805964805,0.0,13224.48,13592.885
78,3409.0025777777773,747.9586740593508,2834.0706459968815,3983.934509558673,0.0,13396.229,13769.414
79,3493.865533333333,765.2607746360272,2905.6340297265924,4082.097036940074,0.0,13567.975,13945.947
80,3581.1839555555553,782.4995905329826,2979.7015250340137,4182.666386077097,0.0,13739.721,14122.478
81,3670.1221000000005,799.7326071228167,3055.3932003057257,4284.850999694275,0.0,13911.465,14299.009
82,3758.4015666666673,816.8599048465945,3130.507460513758,4386.295672819577,0.0,14083.216,14475.541
83,3847.163433333333,834.3272094503825,3205.842768298022,4488.4840983686445,0.0,14254.961,14652.069
84,3936.992744444445,851.4159902891773,3282.536479649181,4591.449009239709,0.0,14426.707,14828.601
85,4027.174122222222,869.0890810944996,3359.133117267321,4695.215127177124,0.0,14598.453,15005.132
86,4118.674566666666,887.6767835691363,3436.3457887882787,4801.003344545053,0.0,14770.201,15181.662
87,4211.567522222223,904.5827209610238,3516.2436904987703,4906.891353945675,0.0,14941.947,15358.193
