t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
1,85.60793333333332,0.20484951824205208,85.45047205461307,85.76539461205357,84.74199
2,170.69095888888887,0.5960501493885529,170.23279418579585,171.1491235919819,169.48398
3,255.16243888888891,1.3050295424380691,254.15930438174698,256.1655733960308,254.22595
4,338.98961444444444,2.3299179894263946,337.19868093834316,340.7805479505457,338.96796
5,422.4717344444445,3.3105437294503055,419.9270252678156,425.0164436210734,423.70984
6,505.5255144444444,4.5717166511528005,502.0113819435977,509.0396469452911,508.45193
7,588.1422399999999,5.9022126219134945,583.6053977623377,592.6790822376621,593.194
8,670.4753311111111,7.110605702646668,665.009635726408,675.9410264958143,677.9359
9,752.1393622222222,8.61126180113255,745.5201604479764,758.758563996468,762.6779
10,833.3584766666667,9.84432791673077,825.7914563719044,840.925496961429,847.4197
11,913.7998377777777,11.240268108339103,905.1598028648999,922.4398726906555,932.16187
12,993.914158888889,12.79245212501541,984.0810097223267,1003.7473080554513,1016.90393
13,1073.1271888888887,14.642047383942328,1061.87231495048,1084.3820628272974,1101.6459
14,1151.8152444444447,16.33677174177254,1139.2576900469733,1164.3727988419162,1186.3878
15,1229.2565222222222,18.2471824780415,1215.2304961388259,1243.2825483056185,1271.1299
16,1306.2450555555556,20.1348842088247,1290.7680134730867,1321.7220976380245,1355.8718
17,1382.0502555555554,22.263136828461015,1364.9372936925397,1399.163217418571,1440.6138
18,1458.119866666667,24.481088873608115,1439.3020359410532,1476.9376973922806,1525.3558
19,1533.4050888888887,27.128250211055107,1512.5524698330398,1554.2577079447376,1610.098
20,1608.4188333333332,29.690041079670163,1585.597047498633,1631.2406191680334,1694.8394
21,1682.4938999999997,32.324624009336944,1657.6469944551827,1707.3408055448167,1779.5818
22,1755.897677777778,35.15636744509374,1728.8741015420635,1782.9212540134924,1864.3239
23,1828.8700111111111,37.984865836522516,1799.672258546379,1858.0677636758433,1949.0657
24,1902.1999444444446,40.785270872494856,1870.849610015313,1933.5502788735762,2033.8076
25,1974.0642000000003,43.71168980776195,1940.4644208488467,2007.6639791511539,2118.5498
26,2045.1205111111112,46.823807797434775,2009.1285463088147,2081.1124759134077,2203.2915
27,2115.0877444444445,50.16769284514961,2076.525442059589,2153.6500468293,2288.0334
28,2184.7003111111117,53.61088017222921,2143.4913406547466,2225.9092815674767,2372.776
29,2253.901766666667,57.024609061527144,2210.068771898573,2297.734761434761,2457.5173
30,2322.8032444444448,60.39014642063117,2276.3832686539245,2369.223220234965,2542.2598
31,2390.603188888889,64.10293260061206,2341.329313003647,2439.8770647741308,2627.0017
32,2457.967944444444,68.15706955551472,2405.5777830316392,2510.358105857249,2711.7437
33,2525.428988888889,72.02266948384107,2470.067464336162,2580.7905134416155,2796.485
34,2592.3189,76.32610134912895,2533.649464888299,2650.9883351117014,2881.2275
35,2658.1308333333336,80.85169540881623,2595.982718683001,2720.278947983666,2965.9695
