env_step,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi
65536,64.193535,6.157187,59.4607,68.92637
131072,41.20226,2.699521,39.127224,43.277294
196608,35.91595,1.8730218,34.47622,37.355682
262144,34.829437,1.8910413,33.375854,36.28302
327680,34.82791,2.0607643,33.243866,36.411957
393216,33.97549,1.9414716,32.483143,35.46784
458752,31.067013,1.0842764,30.233564,31.900461
524288,33.877483,1.4582057,32.756607,34.99836
589824,34.851078,1.9522035,33.350483,36.351673
655360,35.760708,2.428237,33.8942,37.627216
720896,36.655117,2.4771369,34.751022,38.55921
786432,33.09618,2.3798895,31.266834,34.925526
851968,30.047947,1.5455893,28.859901,31.235992
917504,31.70164,1.8488988,30.280449,33.12283
983040,31.965786,2.0298817,30.405481,33.526093
1048576,32.43193,2.0421803,30.862171,34.00169
1114112,33.205788,2.8250916,31.03423,35.377346
1179648,30.049822,1.9589013,28.544077,31.555567
1245184,28.150167,1.3839418,27.086376,29.213959
1310720,28.761526,2.1235464,27.129225,30.393827
1376256,29.878426,2.3077452,28.104536,31.652315
1441792,30.268337,2.3876755,28.433008,32.10367
1507328,30.291788,1.821164,28.891918,31.691658
