env_step,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi
65536,15.614629,0.59967434,15.153678,16.075579
131072,17.640373,1.2347788,16.691238,18.589508
196608,19.247688,1.0245396,18.460157,20.03522
262144,20.461607,0.7832175,19.859573,21.06364
327680,20.936384,0.99031883,20.175158,21.69761
393216,20.890556,0.7695587,20.29902,21.482092
458752,21.04078,0.55572075,20.613615,21.467943
524288,21.66906,0.6199854,21.192497,22.145622
589824,21.796913,0.53173584,21.388186,22.20564
655360,21.771696,0.6914897,21.24017,22.303223
720896,21.940468,0.50907767,21.549156,22.33178
786432,21.819744,0.50554407,21.431149,22.20834
851968,21.344614,0.395428,21.04066,21.648567
917504,21.55255,0.7485633,20.977152,22.127947
983040,21.590979,0.5625843,21.158539,22.023418
1048576,21.686352,0.6347144,21.198467,22.174236
1114112,21.926182,0.7469954,21.35199,22.500374
1179648,21.503944,1.0053377,20.731173,22.276716
1245184,21.140488,0.4940582,20.760721,21.520254
1310720,21.06613,0.8384515,20.421638,21.71062
1376256,21.7835,0.8611829,21.121536,22.445465
1441792,21.87074,0.71126366,21.324015,22.417467
1507328,21.77322,0.53354514,21.3631,22.18334
