env_step,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi
65536,47.540653,12.318785,38.071598,57.00971
131072,93.51376,5.4182053,89.34896,97.678566
196608,104.05112,3.740708,101.17575,106.92648
262144,106.25456,3.7859542,103.34442,109.1647
327680,106.251236,4.1545997,103.05773,109.44474
393216,107.95021,3.8875387,104.96198,110.93844
458752,113.788124,2.1899478,112.10478,115.471466
524288,108.14571,2.954974,105.87432,110.41711
589824,106.22354,3.9030743,103.22337,109.22371
655360,104.41127,4.8291845,100.699234,108.12331
720896,102.63147,4.9248333,98.84591,106.41703
786432,109.72582,4.7651963,106.062965,113.38868
851968,115.83941,3.1064587,113.45158,118.22724
917504,112.50782,3.704816,109.66005,115.35559
983040,111.95968,4.0713186,108.830185,115.08917
1048576,110.99044,4.08447,107.85084,114.13004
1114112,109.474945,5.623478,105.15236,113.79753
1179648,115.79424,3.8971086,112.79866,118.789825
1245184,119.64075,2.8175933,117.47495,121.80654
1310720,118.34706,4.2976217,115.04362,121.650505
1376256,116.11712,4.6407924,112.54989,119.68435
1441792,115.310234,4.7739506,111.64065,118.97982
1507328,115.29579,3.6108863,112.52022,118.071365
