env_step,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi
65536,64.18108,6.161673,59.4448,68.917366
131072,41.19926,2.7198358,39.10861,43.289913
196608,35.948208,1.8691169,34.51148,37.384937
262144,34.83129,1.895303,33.37443,36.28815
327680,34.836155,2.094037,33.226536,36.445774
393216,33.98959,1.946649,32.493263,35.485916
458752,31.060143,1.1074809,30.208857,31.911428
524288,33.892097,1.497841,32.740753,35.04344
589824,34.84068,1.9519192,33.3403,36.341057
655360,35.743313,2.4015753,33.897297,37.58933
720896,36.6287,2.448154,34.746883,38.510517
786432,33.093292,2.385894,31.259333,34.927254
851968,30.027927,1.5616598,28.82753,31.228325
917504,31.705841,1.8561361,30.279089,33.132595
983040,31.989838,2.04199,30.420225,33.55945
1048576,32.49292,2.0427992,30.922686,34.063156
1114112,33.234562,2.7990718,31.083004,35.38612
1179648,30.071232,1.9387252,28.580996,31.561468
1245184,28.124367,1.4354911,27.02095,29.227783
1310720,28.80671,2.1746933,27.135092,30.478327
1376256,29.919752,2.3333738,28.126162,31.713343
1441792,30.336721,2.3872988,28.50168,32.17176
1507328,30.327719,1.7908947,28.951115,31.704323
